"","treatment","site","trait","moment","plot_id","estimate","ci_high","ci_low"
"539","NB","QUE","sla_cm2_g","variance","4",2291.05441177393,3029.45842247366,1552.65040107421
"540","NB","QUE","sla_cm2_g","variance","5",2360.5991252568,2653.73020018321,2067.46805033039
"541","NB","QUE","wet_mass_g","kurtosis","1",10.3063643214076,19.8306373549846,0.782091287830575
"542","NB","QUE","wet_mass_g","kurtosis","2",14.984909386164,18.8485566746209,11.1212620977071
"543","NB","QUE","wet_mass_g","kurtosis","3",3.84434009472412,4.8776228365619,2.81105735288634
"544","NB","QUE","wet_mass_g","kurtosis","4",10.5641691740021,15.5403540401438,5.58798430786046
"545","NB","QUE","wet_mass_g","kurtosis","5",3.21982799999013,4.59266763493946,1.8469883650408
"546","NB","QUE","wet_mass_g","mean","1",0.0435100554166667,0.047816168760731,0.0392039420726023
"547","NB","QUE","wet_mass_g","mean","2",0.0848634416369048,0.0936180327542818,0.0761088505195277
"548","NB","QUE","wet_mass_g","mean","3",0.0629618654166667,0.0677787839062967,0.0581449469270366
"549","NB","QUE","wet_mass_g","mean","4",0.0790723791666667,0.0900135373456618,0.0681312209876716
"550","NB","QUE","wet_mass_g","mean","5",0.0925345275,0.104746719487196,0.0803223355128043
"551","NB","QUE","wet_mass_g","skewness","1",2.7341588240408,3.64139451886078,1.82692312922082
"552","NB","QUE","wet_mass_g","skewness","2",3.24497913035418,3.70845479271031,2.78150346799805
"553","NB","QUE","wet_mass_g","skewness","3",2.03474885533814,2.23775749540954,1.83174021526674
"554","NB","QUE","wet_mass_g","skewness","4",3.35650187692273,3.935633435219,2.77737031862647
"555","NB","QUE","wet_mass_g","skewness","5",2.11246273520855,2.38989493112831,1.83503053928879
"556","NB","QUE","wet_mass_g","variance","1",0.00384608086396353,0.00495484802847313,0.00273731369945393
"557","NB","QUE","wet_mass_g","variance","2",0.0149136297984592,0.0193170131224877,0.0105102464744307
"558","NB","QUE","wet_mass_g","variance","3",0.00492222017824019,0.00568586819983252,0.00415857215664787
"559","NB","QUE","wet_mass_g","variance","4",0.0206668782882919,0.0260761961466353,0.0152575604299486
"560","NB","QUE","wet_mass_g","variance","5",0.0259892505805519,0.030310254500985,0.0216682466601188
"561","C","TRE","dry_mass_g","kurtosis","1",3.75266039258707,9.95913259473473,-2.45381180956058
"562","C","TRE","dry_mass_g","kurtosis","2",8.30070204801703,22.8588595049372,-6.25745540890312
"563","C","TRE","dry_mass_g","kurtosis","3",1.21920438602024,2.79132677766878,-0.352918005628303
"564","C","TRE","dry_mass_g","kurtosis","4",5.53888624048751,15.0495213765809,-3.97174889560585
"565","C","TRE","dry_mass_g","kurtosis","5",2.9920988629191,4.92001151197568,1.06418621386252
"566","C","TRE","dry_mass_g","mean","1",0.0645796372230657,0.0865226717148918,0.0426366027312396
"567","C","TRE","dry_mass_g","mean","2",0.079488298407661,0.104910962444648,0.0540656343706737
"568","C","TRE","dry_mass_g","mean","3",0.0639860761625977,0.0847544595689717,0.0432176927562237
"569","C","TRE","dry_mass_g","mean","4",0.0809246312833333,0.109790928289688,0.0520583342769785
"570","C","TRE","dry_mass_g","mean","5",0.0570282092443191,0.0700822799080661,0.0439741385805722
"571","C","TRE","dry_mass_g","skewness","1",1.56915141139206,2.27097560989932,0.867327212884797
"572","C","TRE","dry_mass_g","skewness","2",1.7211559142409,3.01428424557823,0.428027582903569
"573","C","TRE","dry_mass_g","skewness","3",1.02249396466076,1.47540635764233,0.569581571679189
"574","C","TRE","dry_mass_g","skewness","4",1.32485713387913,2.46309950100457,0.186614766753681
"575","C","TRE","dry_mass_g","skewness","5",1.7205293366677,2.17832819457165,1.26273047876376
"576","C","TRE","dry_mass_g","variance","1",0.00561485542746459,0.00969184322336169,0.00153786763156749
"577","C","TRE","dry_mass_g","variance","2",0.00287414341871353,0.00487639250029337,0.000871894337133697
"578","C","TRE","dry_mass_g","variance","3",0.00318727824280608,0.00458000928011466,0.0017945472054975
"579","C","TRE","dry_mass_g","variance","4",0.00615193711251721,0.0137113744405621,-0.00140750021552765
"580","C","TRE","dry_mass_g","variance","5",0.00476650995112849,0.00752149727428444,0.00201152262797255
"581","C","TRE","ldmc","kurtosis","1",3.3723413551333,4.77906064873364,1.96562206153297
"582","C","TRE","ldmc","kurtosis","2",4.41470837261685,8.92737519908077,-0.0979584538470677
"583","C","TRE","ldmc","kurtosis","3",1.21752052243362,2.29445762048551,0.140583424381737
"584","C","TRE","ldmc","kurtosis","4",2.83528784225023,4.56210276240313,1.10847292209733
"585","C","TRE","ldmc","kurtosis","5",2.20566452240694,4.26919343567236,0.14213560914152
"586","C","TRE","ldmc","mean","1",0.513169282351471,0.545530911342502,0.480807653360441
"587","C","TRE","ldmc","mean","2",0.501009976155661,0.534974087624515,0.467045864686806
"588","C","TRE","ldmc","mean","3",0.503110440902759,0.522304760590688,0.483916121214831
"589","C","TRE","ldmc","mean","4",0.485692784054906,0.524477429411215,0.446908138698598
"590","C","TRE","ldmc","mean","5",0.492395302105107,0.525892126462226,0.458898477747987
"591","C","TRE","ldmc","skewness","1",0.797312513042134,1.27742795963137,0.317197066452896
"592","C","TRE","ldmc","skewness","2",-1.27196010265129,-0.360676892821739,-2.18324331248084
"593","C","TRE","ldmc","skewness","3",-0.11642790978865,0.42816890175638,-0.661024721333679
"594","C","TRE","ldmc","skewness","4",-1.45199187395095,-0.9308764284394,-1.9731073194625
"595","C","TRE","ldmc","skewness","5",0.0731973347930804,0.733137137459606,-0.586742467873445
"596","C","TRE","ldmc","variance","1",0.0203887315564643,0.0257382785393994,0.0150391845735292
"597","C","TRE","ldmc","variance","2",0.00847880915214868,0.0111342884022612,0.00582332990203613
"598","C","TRE","ldmc","variance","3",0.0226027275745478,0.0277344233417357,0.0174710318073599
"599","C","TRE","ldmc","variance","4",0.0096127901412129,0.0120325629726786,0.00719301730974715
"600","C","TRE","ldmc","variance","5",0.0117968254598616,0.0140569369405762,0.00953671397914704
"601","C","TRE","leaf_area_cm2","kurtosis","1",7.72328932158173,22.2260749491368,-6.77949630597333
"602","C","TRE","leaf_area_cm2","kurtosis","2",16.0270711726592,39.3592444698479,-7.3051021245296
"603","C","TRE","leaf_area_cm2","kurtosis","3",3.61968818280882,7.52749915416462,-0.288122788546977
"604","C","TRE","leaf_area_cm2","kurtosis","4",14.7629154302355,40.0344006526253,-10.5085697921544
"605","C","TRE","leaf_area_cm2","kurtosis","5",2.47562163482065,4.89733571852521,0.0539075511160823
"606","C","TRE","leaf_area_cm2","mean","1",4.80254109365981,7.10938470650707,2.49569748081255
"607","C","TRE","leaf_area_cm2","mean","2",4.04470040634346,5.44265641511842,2.6467443975685
"608","C","TRE","leaf_area_cm2","mean","3",4.25594628089416,5.73710840907786,2.77478415271046
"609","C","TRE","leaf_area_cm2","mean","4",5.010255536125,7.08592314760445,2.93458792464555
"610","C","TRE","leaf_area_cm2","mean","5",3.45370309476199,4.20621666404569,2.7011895254783
"611","C","TRE","leaf_area_cm2","skewness","1",2.31459188897538,3.51421080032613,1.11497297762463
"612","C","TRE","leaf_area_cm2","skewness","2",3.33162183695563,4.93002704481828,1.73321662909298
"613","C","TRE","leaf_area_cm2","skewness","3",1.79597497829748,2.53586876120605,1.05608119538892
"614","C","TRE","leaf_area_cm2","skewness","4",2.76598875090193,4.77692584969028,0.755051652113577
"615","C","TRE","leaf_area_cm2","skewness","5",1.6520154511812,2.17590123129771,1.12812967106469
"616","C","TRE","leaf_area_cm2","variance","1",54.2903080771603,111.689667480249,-3.10905132592816
"617","C","TRE","leaf_area_cm2","variance","2",16.9452495748423,43.246312819668,-9.35581366998344
"618","C","TRE","leaf_area_cm2","variance","3",20.566844800499,30.6843332799707,10.4493563210273
"619","C","TRE","leaf_area_cm2","variance","4",57.3741953039228,159.801637656827,-45.0532470489816
"620","C","TRE","leaf_area_cm2","variance","5",16.7757720736776,27.7687470461639,5.78279710119129
"621","C","TRE","leaf_thickness_mm","kurtosis","1",-0.802797419276006,-0.357707766910649,-1.24788707164136
"622","C","TRE","leaf_thickness_mm","kurtosis","2",-0.373932034325675,0.335691890512779,-1.08355595916413
"623","C","TRE","leaf_thickness_mm","kurtosis","3",-0.714588043432509,-0.172822469388316,-1.2563536174767
"624","C","TRE","leaf_thickness_mm","kurtosis","4",-0.744091183499631,-0.147536344372848,-1.34064602262641
"625","C","TRE","leaf_thickness_mm","kurtosis","5",-0.319354720426853,0.435092289648535,-1.07380173050224
"626","C","TRE","leaf_thickness_mm","mean","1",0.324432384166667,0.375487387598833,0.2733773807345
"627","C","TRE","leaf_thickness_mm","mean","2",0.453683023333333,0.498015390486598,0.409350656180069
"628","C","TRE","leaf_thickness_mm","mean","3",0.333475805,0.379503280230022,0.287448329769978
"629","C","TRE","leaf_thickness_mm","mean","4",0.399216867,0.441110630769372,0.357323103230628
"630","C","TRE","leaf_thickness_mm","mean","5",0.384659025,0.421331096693062,0.347986953306938
"631","C","TRE","leaf_thickness_mm","skewness","1",0.0842084938495011,0.532071622289342,-0.36365463459034
"632","C","TRE","leaf_thickness_mm","skewness","2",-0.722663828481825,-0.390662455844628,-1.05466520111902
"633","C","TRE","leaf_thickness_mm","skewness","3",0.356648293512636,0.784482830179792,-0.0711862431545197
"634","C","TRE","leaf_thickness_mm","skewness","4",-0.317564065536531,0.0641842118096493,-0.699312342882711
"635","C","TRE","leaf_thickness_mm","skewness","5",-0.0423055705929645,0.268623038503528,-0.353234179689457
"636","C","TRE","leaf_thickness_mm","variance","1",0.0180697904771517,0.0212421758250645,0.014897405129239
"637","C","TRE","leaf_thickness_mm","variance","2",0.0179095863536488,0.020667925401121,0.0151512473061766
"638","C","TRE","leaf_thickness_mm","variance","3",0.0188422079654662,0.0236365448375943,0.0140478710933381
"639","C","TRE","leaf_thickness_mm","variance","4",0.0186975950578167,0.0224088113034875,0.0149863788121459
"640","C","TRE","leaf_thickness_mm","variance","5",0.020833880824866,0.0245087393911715,0.0171590222585605
"641","C","TRE","plant_height_cm","kurtosis","1",0.455850112182842,1.23736151163409,-0.325661287268404
"642","C","TRE","plant_height_cm","kurtosis","2",0.0391496029846046,1.33620643145573,-1.25790722548652
"643","C","TRE","plant_height_cm","kurtosis","3",-1.09917861923885,-0.842143142851703,-1.356214095626
"644","C","TRE","plant_height_cm","kurtosis","4",-1.32440913820577,-1.09268558587541,-1.55613269053614
"645","C","TRE","plant_height_cm","kurtosis","5",-0.227033206932979,0.37304155995455,-0.827107973820508
"646","C","TRE","plant_height_cm","mean","1",34.6428955,42.1418575760841,27.1439334239159
"647","C","TRE","plant_height_cm","mean","2",50.65798,53.7250699841007,47.5908900158993
"648","C","TRE","plant_height_cm","mean","3",36.062656,38.8205471413817,33.3047648586183
"649","C","TRE","plant_height_cm","mean","4",39.850117,44.2941446833478,35.4060893166522
"650","C","TRE","plant_height_cm","mean","5",33.040536,39.1594004562891,26.9216715437109
"651","C","TRE","plant_height_cm","skewness","1",0.189668015861187,0.735003315817584,-0.355667284095209
"652","C","TRE","plant_height_cm","skewness","2",-0.91597281338479,-0.532901383271402,-1.29904424349818
"653","C","TRE","plant_height_cm","skewness","3",0.102877838160067,0.371684640858687,-0.165928964538554
"654","C","TRE","plant_height_cm","skewness","4",-0.139613345509356,0.191751291255504,-0.470977982274216
"655","C","TRE","plant_height_cm","skewness","5",0.563237961731286,1.03639259605013,0.0900833274124456
"656","C","TRE","plant_height_cm","variance","1",234.736012301256,329.043076552093,140.42894805042
"657","C","TRE","plant_height_cm","variance","2",427.428713356784,568.550269720825,286.307156992743
"658","C","TRE","plant_height_cm","variance","3",504.947851800503,571.289919650284,438.605783950721
"659","C","TRE","plant_height_cm","variance","4",486.097730369849,569.321222678283,402.874238061416
"660","C","TRE","plant_height_cm","variance","5",385.0483399,505.399842203212,264.696837596788
"661","C","TRE","sla_cm2_g","kurtosis","1",1.69129443080649,3.20493211577117,0.177656745841812
"662","C","TRE","sla_cm2_g","kurtosis","2",7.96452487693117,13.4997622706477,2.42928748321469
