ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
ABF2214,12,ACJ,Halenia,umbellata,T,C,3,2,5,8.8,NA,NA,NA,0.069,0.297,0.304,0.315,NA,2.294,2.294
AVR0480,12,ACJ,Lachemilla,orbiculata,T,C,4,2,4,2,NA,NA,NA,0.12,0.266,0.263,NA,NA,3.106,3.106
ACY7408,12,ACJ,Lachemilla,orbiculata,T,C,4,2,2,2,NA,NA,NA,0.15,0.308,0.324,0.299,NA,3.602,3.602
ATI0785,12,ACJ,Lachemilla,orbiculata,T,C,2,3,4,3,NA,NA,NA,0.064,0.294,0.253,NA,NA,1.393,1.393
AED4690,12,ACJ,Halenia,umbellata,T,C,2,3,2,5.3,NA,NA,NA,0.042,0.282,0.292,0.255,NA,1.231,1.231
ACB4434,12,ACJ,Halenia,umbellata,T,C,2,3,1,5.3,NA,NA,NA,0.033,0.271,0.289,0.301,NA,1.014,1.014
AUI4797,12,ACJ,Lachemilla,orbiculata,T,C,5,2,2,9,NA,NA,NA,0.218,0.342,0.277,0.252,NA,5.037,5.037
AHB7381,12,ACJ,Halenia,umbellata,T,C,4,1,1,9,NA,NA,NA,0.045,0.259,0.252,0.227,NA,1.86,1.86
AUK0888,12,ACJ,Lachemilla,orbiculata,T,C,5,2,4,9,NA,NA,NA,0.189,0.348,0.303,0.332,NA,4.771,4.771
ADD1710,12,ACJ,Halenia,umbellata,T,C,4,1,2,9,NA,NA,NA,0.065,0.239,0.236,0.223,NA,1.914,1.914
AUJ3901,12,ACJ,Lachemilla,orbiculata,T,C,5,2,5,9,NA,NA,NA,0.222,0.27,0.292,0.313,NA,4.462,4.462
AVD9454,12,ACJ,Elaphoglossum,huacsaro,T,C,4,3,1,17,NA,NA,NA,0.46,0.463,0.46,0.467,NA,9.392,9.392
ADG5889,12,ACJ,Lachemilla,orbiculata,T,C,2,1,2,6.5,NA,NA,NA,0.13,0.308,0.296,0.317,NA,4.072,4.072
AWE4726,12,ACJ,Elaphoglossum,huacsaro,T,C,4,2,1,18,NA,NA,NA,0.656,0.401,0.476,0.456,NA,12.472,12.472
ADH8686,12,ACJ,Lachemilla,orbiculata,T,C,2,1,3,6.5,NA,NA,NA,0.167,0.313,0.309,0.298,NA,5.298,5.298
AAQ9095,12,ACJ,Halenia,umbellata,T,C,2,1,5,22.5,NA,NA,NA,0.034,0.162,0.195,0.2,NA,1.286,1.286
AEH3515,12,ACJ,Lachemilla,orbiculata,T,C,3,1,5,11.2,NA,NA,NA,0.075,0.223,0.208,0.208,NA,3.01,3.01
AEG5038,12,ACJ,Lachemilla,orbiculata,T,C,3,1,4,11.2,NA,NA,NA,0.101,0.238,0.235,0.215,NA,3.819,3.819
AEA4811,12,ACJ,Halenia,umbellata,T,C,3,1,2,6.4,NA,NA,NA,0.055,0.276,0.279,0.317,NA,1.864,1.864
ACV7342,12,ACJ,Lachemilla,orbiculata,T,C,4,1,4,8,NA,NA,NA,0.254,0.309,0.244,0.28,NA,6.176,6.176
AAK1305,12,ACJ,Halenia,umbellata,T,C,3,1,3,6.4,NA,NA,NA,0.057,0.265,0.277,0.273,NA,1.916,1.916
ACZ6300,12,ACJ,Lachemilla,orbiculata,T,C,4,1,3,8,NA,NA,NA,0.272,0.308,0.299,0.303,NA,6.332999999999999,6.332999999999999
AVH1607,12,ACJ,Lachemilla,orbiculata,T,C,3,3,1,3.3,NA,NA,NA,0.104,2.77,0.307,0.299,NA,2.817,2.817
AUN0427,12,ACJ,Lachemilla,orbiculata,T,C,4,1,1,8,NA,NA,NA,0.237,0.33,0.279,0.277,NA,5.683,5.683
AVK6985,12,ACJ,Lachemilla,orbiculata,T,C,3,3,3,3.3,NA,NA,NA,0.056,0.329,0.309,0.295,NA,1.992,1.992
AVL7448,12,ACJ,Lachemilla,orbiculata,T,C,3,3,4,3.3,NA,NA,NA,0.02,0.267,0.255,NA,NA,1.066,1.066
AVI3231,12,ACJ,Lachemilla,orbiculata,T,C,3,3,2,3.3,NA,NA,NA,0.133,0.322,0.285,0.278,NA,3.494,3.494
AAV4547,12,ACJ,Hieracium,c.f. mandonii,T,C,2,1,NA,8.3,NA,NA,NA,0.187,0.372,0.331,0.353,Leaf nr missing,5.438,5.438
AAO3522,12,ACJ,Halenia,umbellata,T,C,2,1,2,22.5,NA,NA,NA,0.056,0.296,0.325,0.28,NA,1.937,1.937
AAP4494,12,ACJ,Halenia,umbellata,T,C,2,1,4,22.5,NA,NA,NA,0.035,0.29,0.268,NA,NA,1.079,1.079
AET0501,12,ACJ,Lachemilla,orbiculata,T,C,5,3,4,4,NA,NA,NA,0.064,0.262,0.233,0.231,NA,1.934,1.934
AEU2525,12,ACJ,Lachemilla,orbiculata,T,C,5,3,5,4,NA,NA,NA,0.049,0.3,0.27,0.26,NA,1.804,1.804
AAN5188,12,ACJ,Halenia,umbellata,T,C,2,2,1,12.6,NA,NA,NA,0.043,0.239,0.282,0.287,NA,1.727,1.727
AAZ5543,12,ACJ,Halenia,umbellata,T,C,2,2,2,12.6,NA,NA,NA,0.066,0.358,0.285,0.5,NA,2.516,2.516
ABB6047,12,ACJ,Halenia,umbellata,T,C,2,2,3,12.6,NA,NA,NA,0.046,0.438,0.56,0.297,NA,1.822,1.822
AEB9826,12,ACJ,Halenia,umbellata,T,C,2,1,1,22.5,NA,NA,NA,0.052,0.245,0.238,0.241,NA,1.799,1.799
AUA6916,12,ACJ,Lachemilla,orbiculata,T,C,5,1,2,7,NA,NA,NA,0.166,0.234,0.212,0.237,NA,4.414,4.414
AVF0584,12,ACJ,Elaphoglossum,huacsaro,T,C,4,1,1,20,NA,NA,NA,0.584,0.454,0.441,0.413,NA,10.799,10.799
ABA6252,12,ACJ,Halenia,umbellata,T,C,2,2,4,12.6,NA,NA,NA,0.063,0.213,0.22,0.241,NA,2.269,2.269
ACA8496,12,ACJ,Halenia,umbellata,T,C,2,2,5,12.6,NA,NA,NA,0.071,0.243,0.21,0.155,NA,2.642,2.642
ADF3723,12,ACJ,Halenia,umbellata,T,C,1,1,5,6.5,10.5,NA,NA,0.049,0.29,0.271,0.184,Leaf nr missing,1.455,1.455
ATW0117,12,ACJ,Halenia,umbellata,T,C,4,3,2,18,NA,NA,NA,0.053,0.197,0.187,0.173,NA,1.854,1.854
ATN8453,12,ACJ,Lachemilla,orbiculata,T,C,2,3,1,3,NA,NA,NA,0.063,0.217,0.231,0.163,NA,1.834,1.834
ATH7116,12,ACJ,Paspalum,bonplandianum,T,C,3,3,5,14,16,NA,NA,0.042,0.109,0.094,0.121,NA,3.195,3.195
ADO6855,12,ACJ,Paspalum,bonplandianum,T,C,5,1,4,18,NA,NA,NA,0.059,0.08,0.084,0.081,NA,5.837,5.837
ABZ5836,12,ACJ,Paspalum,bonplandianum,T,C,3,1,4,11.7,16,NA,NA,0.082,0.083,0.094,0.111,NA,NA,NA
ACG5039,12,ACJ,Paspalum,bonplandianum,T,C,4,3,5,17,18,NA,NA,0.098,0.084,0.113,0.103,NA,7.329,7.329
BHK5486,12,ACJ,Gaultheria,glomerata,T,C,3,3,3,17.8,NA,NA,NA,0.314,0.587,0.59,0.548,NA,6.91,6.91
BHS1020,12,ACJ,Gaultheria,glomerata,T,C,3,3,2,17.8,NA,NA,NA,0.326,0.516,0.523,0.533,NA,7.594,7.594
BEI1150,12,ACJ,Gaultheria,glomerata,T,C,5,2,4,15,NA,NA,NA,0.27,0.509,0.504,0.508,NA,6.899,6.899
BFJ2981,12,ACJ,Gaultheria,glomerata,T,C,5,2,3,15,NA,NA,NA,0.239,0.711,0.545,0.538,NA,5.49,5.49
AHY2796,12,ACJ,Lachemilla,orbiculata,T,C,1,1,4,9,NA,NA,NA,0.086,0.246,0.243,0.235,NA,3.095,3.095
BGL1606,12,ACJ,Gaultheria,glomerata,T,C,1,1,1,14.4,NA,NA,NA,0.231,0.544,0.536,0.536,NA,4.982,4.982
BGP2526,12,ACJ,Gaultheria,glomerata,T,C,1,1,2,14.4,NA,NA,NA,0.193,0.475,0.475,0.475,NA,4.669,4.669
BFN1445,12,ACJ,Gaultheria,glomerata,T,C,1,1,4,14.4,NA,NA,NA,0.252,0.514,0.529,0.53,NA,5.829,5.829
BFR1435,12,ACJ,Gaultheria,glomerata,T,C,1,1,5,14.4,NA,NA,NA,0.228,0.561,0.543,0.552,NA,4.968,4.968
BJD7505,12,ACJ,Gaultheria,glomerata,T,C,5,2,2,15.6,NA,NA,NA,0.285,0.524,0.525,0.524,NA,6.291,6.291
AHW9145,12,ACJ,Lachemilla,orbiculata,T,C,1,1,2,9,NA,NA,NA,0.09,0.209,0.223,0.201,NA,2.7479999999999998,2.7479999999999998
AHX3240,12,ACJ,Lachemilla,orbiculata,T,C,1,1,3,9,NA,NA,NA,0.066,0.222,0.213,0.215,NA,1.519,1.519
BHG7419,12,ACJ,Gaultheria,glomerata,T,C,5,1,2,12,NA,NA,NA,0.336,0.572,0.56,0.594,NA,6.834,6.834
BHT4930,12,ACJ,Gaultheria,glomerata,T,C,5,1,1,12,NA,NA,NA,0.273,0.554,0.57,0.571,NA,5.895,5.895
AID0930,12,ACJ,Lachemilla,orbiculata,T,C,1,1,1,9,NA,NA,NA,0.061,0.246,0.223,0.239,NA,2.335,2.335
BHL9697,12,ACJ,Gaultheria,glomerata,T,C,5,1,4,12,NA,NA,NA,0.212,0.529,0.516,0.55,NA,4.731,4.731
AFA0140,12,ACJ,Paspalum,bonplandianum,T,C,3,3,3,14,NA,NA,NA,0.03,0.099,0.092,0.092,NA,2.339,2.339
BIB0398,12,ACJ,Gaultheria,glomerata,T,C,3,3,1,17.8,NA,NA,NA,0.368,0.554,0.548,0.524,NA,8.355,8.355
BFM4142,12,ACJ,Gaultheria,glomerata,T,C,1,1,3,14.4,NA,NA,NA,0.215,0.61,0.556,0.574,NA,4.907,4.907
BHH3084,12,ACJ,Gaultheria,glomerata,T,C,5,1,3,12,NA,NA,NA,0.288,0.529,0.525,0.561,NA,5.987,5.987
BDU0230,12,ACJ,Gaultheria,glomerata,T,C,2,1,2,15.6,NA,NA,NA,0.166,0.489,0.476,0.501,NA,4.203,4.203
BHV0771,12,ACJ,Gaultheria,glomerata,T,C,2,1,1,15.6,NA,NA,NA,0.211,0.501,0.517,0.484,NA,4.932,4.932
BHP2121,12,ACJ,Gaultheria,glomerata,T,C,5,1,5,12,NA,NA,NA,0.287,0.541,0.573,0.607,NA,5.709,5.709
ATG4892,12,ACJ,Halenia,umbellata,T,C,4,2,2,9.5,NA,NA,NA,0.07,0.243,0.25,0.236,NA,2.522,2.522
AWP2046,12,ACJ,Eriosorus,cheilanthoides,T,C,4,1,NA,30,NA,NA,NA,0.475,0.108,0.088,0.151,NA,9.479,9.479
AEZ3585,12,ACJ,Paspalum,bonplandianum,T,C,3,3,4,14,16,NA,NA,0.063,0.196,0.147,0.153,NA,5.033,5.033
AWR9211,12,ACJ,Eriosorus,cheilanthoides,T,C,4,2,NA,41,NA,NA,NA,0.876,0.154,0.152,0.174,NA,17.572,17.572
ABT4493,12,ACJ,Paspalum,bonplandianum,T,C,1,1,2,18,20.5,NA,NA,0.072,0.085,0.105,0.163,NA,5.95,5.95
AUM3741,12,ACJ,Paspalum,bonplandianum,T,C,1,2,2,9.5,12,NA,NA,0.027,0.089,0.093,0.103,NA,2.468,2.468
ABS7148,12,ACJ,Paspalum,bonplandianum,T,C,1,1,4,18,20.5,NA,NA,0.048,0.096,0.088,0.112,Entered two times,4.488,4.488
AUR9891,12,ACJ,Eriosorus,cheilanthoides,T,C,1,1,NA,32,NA,NA,NA,0.791,0.201,0.123,0.188,NA,10.967,10.967
ACI4396,12,ACJ,Paspalum,bonplandianum,T,C,5,2,1,20,NA,NA,NA,0.089,0.079,0.1,0.125,NA,7.579,7.579
ASM0021,12,ACJ,Paspalum,bonplandianum,T,C,1,1,4,18,20.5,NA,NA,0.062,0.085,0.097,0.145,NA,4.941,4.941
ABQ1404,12,ACJ,Paspalum,bonplandianum,T,C,2,2,4,NA,NA,NA,NA,0.026,0.097,0.093,0.101,Plant height could be 22 cm or 36 cm,1.922,1.922
BFX6210,12,ACJ,Gaultheria,glomerata,T,C,2,1,5,15.6,NA,NA,NA,0.162,0.46,0.448,0.448,NA,4.197,4.197
BDR3415,12,ACJ,Gaultheria,glomerata,T,C,2,1,4,15.6,NA,NA,NA,0.226,0.525,0.529,0.51,NA,5.081,5.081
BDQ8286,12,ACJ,Gaultheria,glomerata,T,C,2,1,3,15.6,NA,NA,NA,0.235,0.534,0.526,0.549,NA,5.205,5.205
BGE1203,12,ACJ,Gaultheria,glomerata,T,C,2,2,4,10.1,NA,NA,NA,0.121,0.433,0.46,0.451,NA,3.139,3.139
BID2754,12,ACJ,Gaultheria,glomerata,T,C,2,2,5,10.1,NA,NA,NA,0.139,0.491,0.464,0.465,NA,3.409,3.409
BFW3433,12,ACJ,Gaultheria,glomerata,T,C,2,2,2,10.1,NA,NA,NA,0.107,0.415,0.41,0.416,NA,2.858,2.858
BHZ4268,12,ACJ,Gaultheria,glomerata,T,C,2,2,3,10.1,NA,NA,NA,0.11,0.484,0.494,0.466,NA,2.726,2.726
BED4523,12,ACJ,Gaultheria,glomerata,T,C,5,3,1,12.5,NA,NA,NA,0.167,0.459,0.472,0.464,NA,4.508,4.508
BEH4888,12,ACJ,Gaultheria,glomerata,T,C,5,3,2,12.5,NA,NA,NA,0.181,0.519,0.53,0.503,NA,4.244,4.244
BES9370,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,3,41,66,NA,NA,0.296,0.244,0.235,0.236,NA,13.929,13.929
BIY3008,12,ACJ,Gaultheria,glomerata,T,C,4,3,2,10,NA,NA,NA,0.161,0.509,0.505,0.51,NA,3.864,3.864
BIO4239,12,ACJ,Gaultheria,glomerata,T,C,4,2,4,19,NA,NA,NA,0.217,0.508,0.5,0.532,NA,5.148000000000001,5.148000000000001
BIW1826,12,ACJ,Gaultheria,glomerata,T,C,4,2,5,19,NA,NA,NA,0.152,0.473,0.482,0.492,NA,4.054,4.054
BIZ5523,12,ACJ,Gaultheria,glomerata,T,C,4,3,4,10,NA,NA,NA,0.114,0.528,0.557,0.55,NA,2.473,2.473
BJA1325,12,ACJ,Gaultheria,glomerata,T,C,4,3,3,10,NA,NA,NA,0.135,0.53,0.527,0.554,NA,3.045,3.045
BIL4667,12,ACJ,Baccharis,genistelloides,T,C,5,2,NA,40,NA,NA,NA,0.294,0.211,0.24,0.228,NA,10.128,10.128
BIS2527,12,ACJ,Gaultheria,glomerata,T,C,4,2,3,19,NA,NA,NA,0.18,0.582,0.554,0.534,NA,3.891,3.891
BGI6077,12,ACJ,Baccharis,genistelloides,T,C,5,3,NA,28,NA,NA,NA,0.338,0.277,0.22,0.233,NA,9.089,9.089
BGH0791,12,ACJ,Rhynchospora,macrochaeta,T,C,3,1,NA,18.7,21.6,NA,NA,0.344,0.313,0.326,0.333,NA,11.423,11.423
BFC4303,12,ACJ,Carex,pichinchensis,T,C,3,3,NA,57,57,NA,NA,0.527,0.293,0.297,0.283,NA,24.057000000000002,24.057000000000002
BHI1101,12,ACJ,Carex,pichinchensis,T,C,5,2,NA,57,58,NA,NA,0.464,0.349,0.232,0.147,NA,19.682,19.682
BDJ9438,12,ACJ,Hieracium,c.f. mandonii,T,C,5,3,NA,16,NA,NA,NA,0.249,0.239,0.214,0.204,NA,6.957,6.957
AHO4802,12,ACJ,Lachemilla,orbiculata,T,C,1,2,5,2.5,NA,NA,NA,0.169,0.335,0.269,0.318,NA,3.839,3.839
AHU9337,12,ACJ,Lachemilla,orbiculata,T,C,1,2,4,2.5,NA,NA,NA,0.132,0.297,0.287,0.308,NA,3.499,3.499
AHT7283,12,ACJ,Lachemilla,orbiculata,T,C,1,2,3,2.5,NA,NA,NA,0.172,0.351,0.398,0.388,NA,4.46,4.46
BIK8949,12,ACJ,Gaultheria,glomerata,T,C,4,2,2,19,NA,NA,NA,0.205,0.495,0.525,0.496,NA,5.07,5.07
BCM7248,12,ACJ,Carex,pichinchensis,T,C,3,1,NA,19.5,24.3,NA,NA,0.31,0.243,0.211,0.196,NA,10.341000000000001,10.341000000000001
BBX7809,12,ACJ,Carex,pichinchensis,T,C,3,2,NA,17.2,24.3,NA,NA,0.344,0.225,0.201,0.189,NA,15.536000000000001,15.536000000000001
BFF2916,12,ACJ,Hieracium,c.f. mandonii,T,C,5,1,NA,12,NA,NA,NA,0.307,0.238,0.238,0.251,NA,9.604,9.604
BFE5770,12,ACJ,Hieracium,c.f. mandonii,T,C,5,2,NA,16,NA,NA,NA,0.21,0.208,0.211,0.183,NA,6.332,6.332
BHM6297,12,ACJ,Carex,pichinchensis,T,C,5,1,NA,40,54.5,NA,NA,0.649,0.357,0.252,0.357,NA,27.499000000000002,27.499000000000002
BKU8933,12,ACJ,Carex,pichinchensis,T,C,5,3,NA,41,44,NA,NA,0.311,0.138,0.123,0.105,NA,15.155999999999999,15.155999999999999
BGM5825,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,3,42.3,53.7,NA,NA,0.488,0.252,0.258,0.254,NA,19.773,19.773
BJS7544,12,ACJ,Gaultheria,glomerata,T,C,4,1,1,10.5,NA,NA,NA,0.129,0.457,0.46,0.448,NA,3.755,3.755
BIC3765,12,ACJ,Gaultheria,glomerata,T,C,4,1,2,10.5,NA,NA,NA,0.118,0.447,0.446,0.449,NA,3.465,3.465
BHJ1002,12,ACJ,Gaultheria,glomerata,T,C,4,1,3,10.5,NA,NA,NA,0.126,0.491,0.502,0.52,NA,3.319,3.319
BCC0020,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,1,42.3,53.7,NA,NA,0.41,0.239,0.256,0.223,NA,14.472999999999999,14.472999999999999
BEO5878,12,ACJ,Rhynchospora,macrochaeta,T,C,5,3,1,24,63,NA,NA,0.464,0.275,0.281,0.29,NA,16.637,16.637
AIB4312,12,ACJ,Eriosorus,cheilanthoides,T,C,3,2,NA,11.5,NA,NA,NA,0.31,0.389,0.24,0.338,NA,5.717,5.717
AIC7150,12,ACJ,Eriosorus,cheilanthoides,T,C,3,3,NA,12.6,NA,NA,NA,0.251,0.31,0.383,0.482,NA,3.572,3.572
BFO4074,12,ACJ,Gaultheria,glomerata,T,C,5,3,4,12.5,NA,NA,NA,0.111,0.381,0.394,0.4,NA,3.658,3.658
BFT9536,12,ACJ,Gaultheria,glomerata,T,C,5,3,5,12.5,NA,NA,NA,0.141,0.435,0.446,0.438,NA,3.863,3.863
BGU4733,12,ACJ,Gaultheria,glomerata,T,C,1,3,NA,22.1,NA,NA,NA,0.131,0.42,0.419,0.418,NA,4.166,4.166
BIG1752,12,ACJ,Gaultheria,glomerata,T,C,4,2,1,19,NA,NA,NA,0.234,0.505,0.516,0.535,NA,5.119,5.119
BFG1747,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,3,50.4,72.7,NA,NA,0.765,0.284,0.304,0.3,NA,29.497,29.497
BBW3917,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,2,50.4,72.7,NA,NA,0.998,0.281,0.272,0.28,NA,37.105000000000004,37.105000000000004
BJB1336,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,4,50.4,72.7,NA,NA,0.794,0.28,0.283,0.273,NA,33.575,33.575
BEF1022,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,1,26.5,43.9,NA,NA,2.81,0.248,0.248,0.25,NA,12.518,12.518
BIX3249,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,5,50.4,72.7,NA,NA,0.652,2.89,2.96,0.29,NA,25.605,25.605
BDZ2036,12,ACJ,Gaultheria,glomerata,T,C,5,2,5,15,NA,NA,NA,0.294,0.531,0.485,0.533,NA,7.31,7.31
BGN2485,12,ACJ,Gaultheria,glomerata,T,C,1,2,2,21.5,NA,NA,NA,0.275,0.455,0.456,0.453,NA,7.924,7.924
BGR9485,12,ACJ,Gaultheria,glomerata,T,C,1,2,3,21.5,NA,NA,NA,0.302,0.492,0.43,0.456,NA,8.529,8.529
BHO2021,12,ACJ,Gaultheria,glomerata,T,C,3,3,5,17.8,NA,NA,NA,0.316,0.621,0.584,0.589,NA,6.658,6.658
BHX1453,12,ACJ,Gaultheria,glomerata,T,C,3,3,4,17.8,NA,NA,NA,0.28,0.505,0.558,0.53,NA,6.799,6.799
BGX6274,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,3,26.5,43.9,NA,NA,0.236,0.238,0.234,0.25,NA,18.932000000000002,18.932000000000002
BGT4117,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,2,26.5,43.9,NA,NA,0.146,0.226,0.233,0.25,NA,6.384,6.384
BFI4689,12,ACJ,Gaultheria,glomerata,T,C,5,2,1,15,NA,NA,NA,0.321,0.539,0.519,0.517,NA,7.465,7.465
BFV8407,12,ACJ,Gaultheria,glomerata,T,C,1,2,1,21.5,NA,NA,NA,0.342,0.423,0.429,0.418,NA,9.934,9.934
BGF6708,12,ACJ,Gaultheria,glomerata,T,C,2,2,1,10,NA,NA,NA,0.088,0.436,0.431,0.45,NA,2.207,2.207
BJK8108,12,ACJ,Rhynchospora,macrochaeta,T,C,4,1,4,33,47,NA,NA,0.352,0.254,0.254,0.267,NA,15.224,15.224
BJC7535,12,ACJ,Rhynchospora,macrochaeta,T,C,4,2,2,30,46,NA,NA,0.259,0.192,0.207,0.186,NA,12.604000000000001,12.604000000000001
BFH2067,12,ACJ,Elaphoglossum,amphioxys,T,C,3,3,NA,18.7,NA,NA,NA,1.021,0.594,0.622,0.628,NA,18.193,18.193
AHQ2490,12,ACJ,Chaptalia,cordata,T,C,3,1,NA,3.3,NA,NA,NA,0.186,0.353,0.321,0.319,NA,4.144,4.144
BGZ7243,12,ACJ,Rhynchospora,macrochaeta,T,C,3,2,2,33.5,42.5,NA,NA,0.292,0.214,0.211,0.21,NA,13.284,13.284
BGD0457,12,ACJ,Rhynchospora,macrochaeta,T,C,3,2,5,33.5,42.5,NA,NA,0.27,0.221,0.215,0.234,NA,13.38,13.38
BHA7883,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,4,42.3,53.7,NA,NA,0.215,0.229,0.238,0.233,NA,10.973,10.973
BGW0254,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,5,42.3,53.7,NA,NA,0.379,0.233,0.234,0.238,NA,12.902000000000001,12.902000000000001
AYZ0852,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,2,42.3,53.7,NA,NA,0.517,0.249,0.246,0.242,NA,18.233,18.233
AZW5426,12,ACJ,Rhynchospora,macrochaeta,T,C,1,3,1,28,31.8,NA,NA,0.31,0.243,0.245,0.241,NA,12.965,12.965
BDB3766,12,ACJ,Elaphoglossum,amphioxys,T,C,1,2,NA,16.5,NA,NA,NA,0.823,0.64,0.673,0.678,NA,11.636,11.636
AFJ6348,12,ACJ,Elaphoglossum,amphioxys,T,C,1,1,NA,22,NA,NA,NA,1.796,0.773,0.776,0.778,NA,24.461,24.461
BCH3510,12,ACJ,Elaphoglossum,amphioxys,T,C,2,3,NA,14.5,NA,NA,NA,0.66,0.601,0.595,0.596,NA,10.999,10.999
BBR4554,12,ACJ,Hypericum,andinum,T,C,2,2,NA,27,NA,NA,10,0.058,0.132,0.131,0.158,NA,2.9819999999999998,2.9819999999999998
BCD3125,12,ACJ,Elaphoglossum,amphioxys,T,C,2,2,NA,9.5,NA,NA,NA,0.627,0.762,0.728,0.68,NA,9.614,9.614
AHK4586,12,ACJ,Carex,pichinchensis,T,C,4,1,NA,26,60,NA,NA,0.423,0.306,0.255,0.305,NA,10.357,10.357
BBZ1433,12,ACJ,Elaphoglossum,amphioxys,T,C,2,1,NA,15.5,NA,NA,NA,1.389,0.487,0.539,0.539,NA,20.565,20.565
BJO6731,12,ACJ,Rhynchospora,macrochaeta,T,C,4,1,3,33,47,NA,NA,0.305,0.27,0.266,0.256,NA,12.667,12.667
BJW7612,12,ACJ,Rhynchospora,macrochaeta,T,C,4,1,2,33,47,NA,NA,0.3,0.266,0.263,0.261,NA,12.804,12.804
BAE5311,12,ACJ,Elaphoglossum,huacsaro,T,C,5,2,NA,12.7,NA,NA,NA,0.628,0.48,0.508,0.453,NA,11.86,11.86
BAF3647,12,ACJ,Elaphoglossum,huacsaro,T,C,5,3,NA,19,NA,NA,NA,0.811,0.429,0.43,0.463,NA,15.744,15.744
BBN2864,12,ACJ,Hypericum,andinum,T,C,2,3,NA,39.5,NA,NA,10,0.049,0.158,0.185,0.177,NA,2.496,2.496
BIT3931,12,ACJ,Baccharis,genistelloides,T,C,1,3,NA,33.5,NA,NA,NA,0.489,0.28,0.289,0.277,NA,10.748,10.748
BER2051,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,2,41,66,NA,NA,0.618,0.266,0.269,0.27,NA,24.156,24.156
BAC4448,12,ACJ,Hypericum,andinum,T,C,4,2,NA,18,NA,NA,NA,0.042,0.115,0.127,0.145,NA,2.658,2.658
BAG8355,12,ACJ,Hypericum,andinum,T,C,4,1,NA,13,NA,NA,NA,0.04,0.12,0.134,0.17,NA,2.494,2.494
BFA3572,12,ACJ,Rhynchospora,macrochaeta,T,C,5,1,2,48,78,NA,NA,0.578,0.238,0.239,0.254,NA,23.387,23.387
BEX3082,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,1,41,66,NA,NA,0.488,0.249,0.247,0.253,NA,NA,NA
BDN3235,12,ACJ,Elaphoglossum,amphioxys,T,C,3,1,NA,34,NA,NA,NA,5.441,0.726,0.757,0.705,NA,71.467,71.467
BIP2743,12,ACJ,Baccharis,genistelloides,T,C,1,1,NA,13,NA,NA,NA,0.191,0.187,0.202,0.196,NA,8.144,8.144
BFS6331,12,ACJ,Baccharis,genistelloides,T,C,1,2,NA,18.9,NA,NA,NA,0.367,0.261,0.273,0.289,NA,8.419,8.419
BCJ9446,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,1,50.4,72.7,NA,NA,0.991,0.284,0.301,0.295,NA,39.558,39.558
BHN3887,12,ACJ,Elaphoglossum,huacsaro,T,C,3,1,NA,13.1,NA,NA,NA,0.453,0.622,0.621,0.621,NA,7.781,7.781
BCX5328,12,ACJ,Elaphoglossum,amphioxys,T,C,3,2,NA,17.6,NA,NA,NA,1.763,0.707,0.695,0.667,NA,25.763,25.763
BHU0841,12,ACJ,Carex,pichinchensis,T,C,4,2,NA,32,36,NA,NA,0.556,0.35,0.373,0.36,NA,16.517,16.517
BEW4359,12,ACJ,Rhynchospora,macrochaeta,T,C,5,1,4,48,78,NA,NA,0.931,0.253,0.258,0.279,NA,36.115,36.115
BHQ5433,12,ACJ,Carex,pichinchensis,T,C,4,3,NA,30,59,NA,NA,0.621,0.288,0.288,0.332,NA,22.121,22.121
BET8756,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,4,41,66,NA,NA,0.648,0.259,0.254,0.244,NA,24.683,24.683
BBF2504,12,ACJ,Elaphoglossum,huacsaro,T,C,2,2,NA,28,NA,NA,NA,0.98,0.57,0.511,0.561,NA,17.041,17.041
BHF4372,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,5,26.5,43.9,NA,NA,0.257,0.199,0.181,0.219,NA,10.374,10.374
BJG2262,12,ACJ,Rhynchospora,macrochaeta,T,C,4,2,1,30,46,NA,NA,0.411,0.217,0.195,0.268,NA,18.58,18.58
BKA5776,12,ACJ,Rhynchospora,macrochaeta,T,C,4,2,3,30,46,NA,NA,0.489,0.219,0.2,0.221,NA,22.278,22.278
