ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
BWU0902,12,QUE,Calamagrostis,beauty,T,BB,1,3,NA,18,NA,5,NA,0.096,0.16,0.181,0.246,Leaves rolled,2.905,2.905
BWQ1330,12,QUE,Calamagrostis,beauty,T,BB,1,2,NA,12.9,NA,5,NA,0.04,0.131,0.144,0.115,Leaves rolled,1.6239999999999999,1.6239999999999999
BWM3403,12,QUE,Calamagrostis,beauty,T,BB,1,1,NA,15,NA,6,NA,0.045,0.126,0.122,0.123,Leaves rolled,1.78,1.78
CDG8261,13,WAY,Halenia,umbellata,T,C,5,2,1,8.5,NA,NA,NA,0.044,0.237,0.213,0.258,NA,1.942,1.942
BYI3448,13,WAY,Halenia,umbellata,T,C,2,4,1,15,NA,NA,NA,0.045,0.148,0.166,0.158,NA,2.338,2.338
CCV5947,13,WAY,Halenia,umbellata,T,C,4,2,1,11.5,NA,NA,NA,0.027,0.155,0.168,0.158,Leaf is uncharacteristically spotty,1.163,1.163
CCR6812,13,WAY,Halenia,umbellata,T,C,4,2,2,11.5,NA,NA,NA,0.022,0.182,0.178,0.155,Leaf is uncharacteristically spotty,1.042,1.042
CCS1695,13,WAY,Gaultheria,glomerata,T,C,5,1,5,8.1,NA,1,NA,0.045,0.366,0.327,0.352,NA,1.454,1.454
BYM2497,13,WAY,Halenia,umbellata,T,C,2,4,5,15,NA,NA,NA,0.06,0.162,0.188,0.174,"Minor nibbles on margin. Got stuck on tape during scanning, lost parts of the leaf.",2.954,2.954
CAJ1115,13,WAY,Lachemilla,orbiculata,T,C,3,1,2,2.8,NA,NA,NA,0.069,0.265,0.199,0.171,NA,2.032,2.032
CCJ0794,13,WAY,Halenia,umbellata,T,C,4,2,4,11.5,NA,NA,NA,0.028,0.141,0.166,0.137,Leaf is uncharacteristically spotty,1.145,1.145
CCF5239,13,WAY,Halenia,umbellata,T,C,4,2,5,11.5,NA,NA,NA,0.021,0.167,0.162,0.113,Leaf is uncharacteristically spotty,0.951,0.951
AJN5736,13,WAY,Lachemilla,orbiculata,T,C,3,1,1,28,NA,NA,NA,0.071,0.214,0.215,0.2,NA,2.3320000000000003,2.3320000000000003
BZF1621,13,WAY,Lachemilla,orbiculata,T,C,2,2,1,5.2,NA,NA,NA,0.035,0.181,0.202,0.192,NA,1.28,1.28
BZB2183,13,WAY,Lachemilla,orbiculata,T,C,2,2,2,5.2,NA,NA,NA,0.035,0.221,0.197,0.199,NA,1.297,1.297
BZV5431,13,WAY,Lachemilla,orbiculata,T,C,4,2,3,3.7,NA,NA,NA,0.05,0.395,0.224,0.268,NA,1.4060000000000001,1.4060000000000001
AJU4056,13,WAY,Paspalum,bonplandianum,T,C,2,2,5,12,12.5,NA,NA,0.048,0.077,0.061,0.042,NA,4.550999999999999,4.550999999999999
AOP1817,13,WAY,Lachemilla,orbiculata,T,C,1,1,1,2.4,NA,NA,NA,0.092,0.245,0.223,0.348,NA,2.6599999999999997,2.6599999999999997
CDY9931,13,WAY,Paspalum,bonplandianum,T,C,2,1,5,17,18.5,NA,NA,0.041,0.086,0.092,0.108,Around 0.6cm nibble was had,3.883,3.883
CGY4377,13,WAY,Paspalum,bonplandianum,T,C,1,1,1,10,11.5,NA,NA,0.04,0.071,0.076,0.079,NA,3.611,3.611
CFH3622,13,WAY,Halenia,umbellata,T,C,1,1,3,12,NA,NA,NA,0.067,0.212,0.214,0.205,NA,2.7769999999999997,2.7769999999999997
AYS4952,12,WAY,Hypericum,andinum,T,BB,5,1,NA,2.3,NA,NA,9,0.058,0.184,0.375,0.164,NA,3.806,3.806
BZJ9380,13,WAY,Lachemilla,orbiculata,T,C,5,2,4,2,NA,NA,NA,0.115,0.258,0.226,0.266,NA,2.3360000000000003,2.3360000000000003
BUK1612,13,WAY,Paspalum,bonplandianum,T,C,2,1,2,17,18.5,NA,NA,0.065,0.081,0.056,0.069,NA,5.982,5.982
CDX0578,13,WAY,Lachemilla,orbiculata,T,C,5,1,2,5,NA,NA,NA,0.071,0.249,0.248,0.248,NA,2.255,2.255
AJV4907,13,WAY,Paspalum,bonplandianum,T,C,2,1,4,17,18.5,NA,NA,0.069,0.077,0.114,0.093,NA,5.768,5.768
CAH6432,13,WAY,Gaultheria,glomerata,T,C,2,2,4,18,NA,NA,NA,0.131,0.437,0.466,0.444,NA,3.371,3.371
CBJ7311,13,WAY,Paspalum,bonplandianum,T,C,4,1,2,9.5,9.8,NA,NA,0.031,0.134,0.198,0.132,NA,2.1369999999999996,2.1369999999999996
CGM1306,13,WAY,Halenia,umbellata,T,C,3,2,1,5.3,NA,1,NA,0.02,0.14,0.156,0.156,NA,0.907,0.907
CGQ2823,13,WAY,Paspalum,bonplandianum,T,C,4,1,1,9.5,9.8,NA,NA,0.032,0.13,0.109,0.144,NA,2.6529999999999996,2.6529999999999996
AOC2233,13,WAY,Lachemilla,orbiculata,T,C,4,1,3,9,NA,NA,NA,0.088,0.184,0.167,0.455,NA,2.338,2.338
CDJ7438,12,QUE,Calamagrostis,beauty,T,BB,4,2,NA,22.5,NA,5,NA,0.079,0.131,0.121,0.114,NA,3.964,3.964
AIX0192,12,QUE,Oxalis,oreocharis,T,BB,1,1,2,4,NA,NA,NA,0.022,0.167,0.119,0.059,NA,0.591,0.591
AKO4652,12,QUE,Carex,pygmaea,T,BB,4,3,NA,4.5,NA,3,NA,0.06,0.191,0.171,0.182,NA,3.477,3.477
AKN7109,12,QUE,Carex,pygmaea,T,BB,4,2,NA,2.3,NA,3,NA,0.043,0.186,0.186,0.195,NA,2.61,2.61
AXE8216,12,QUE,Luzula,racemosa,T,BB,3,2,NA,6.7,NA,NA,NA,0.051,0.234,0.237,0.181,NA,2.264,2.264
BXI0062,12,QUE,Luzula,racemosa,T,BB,2,2,NA,4.4,NA,NA,NA,0.038,0.214,0.219,0.202,NA,1.888,1.888
BWG3149,12,QUE,Calamagrostis,rigida,T,BB,2,2,NA,17,NA,1,NA,0.027,0.254,0.256,0.258,Rolled leaf multiple leaf area,1.6829999999999998,1.6829999999999998
BUU3133,12,QUE,Luzula,racemosa,T,BB,1,1,NA,10.1,NA,5,NA,0.066,0.218,0.209,0.207,NA,3.259,3.259
BWK7308,12,QUE,Calamagrostis,rigida,T,BB,2,3,NA,24,NA,1,NA,0.05,0.351,0.357,0.38,NA,1.323,1.323
BWR8413,12,QUE,Calamagrostis,rigida,T,BB,4,1,NA,22,NA,1,NA,0.032,0.277,0.288,0.288,NA,1.021,1.021
CDB6537,12,QUE,Calamagrostis,beauty,T,BB,4,3,NA,22,NA,5,NA,0.085,0.26,0.242,0.224,NA,2.901,2.901
BXQ0542,12,QUE,Luzula,racemosa,T,BB,2,4,NA,6.7,NA,1,NA,0.025,0.119,0.131,0.092,NA,1.602,1.602
BCQ2816,12,QUE,Vaccinium,floribundum,T,BB,1,1,NA,1.8,NA,5,NA,0.079,0.366,0.336,0.273,NA,2.6959999999999997,2.6959999999999997
BYA3359,13,WAY,Halenia,umbellata,T,C,2,2,3,15,NA,NA,NA,0.023,0.178,0.188,0.172,NA,0.853,0.853
BYZ3594,13,WAY,Halenia,umbellata,T,C,2,2,2,15,NA,NA,NA,0.026,0.165,0.191,0.192,NA,1.152,1.152
