ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2,nLeafScan
AIU5769,12,QUE,Euphorbia,huancachana,T,BB,1,2,NA,2,NA,5,NA,35,82,68,41,NA,1.906,5
BJR3132,12,QUE,Euphorbia,huancachana,T,BB,4,2,NA,0.11,NA,5,NA,45,243,224,242,NA,2.544,5
AJC2607,12,QUE,Oreithales,integrifolia,T,BB,5,2,NA,0.33,NA,1,NA,469,0.6,605,0.52,NA,4.203,1
BAR3619,12,ACJ,Lycopodium,clavatum,T,C,1,2,NA,22,NA,236,10,0.15,202,135,197,NA,7.45,236
BHE1948,12,ACJ,Lycopodium,clavatum,T,C,3,1,NA,13,NA,220,10,167,139,162,114,NA,7.671,220
AUQ9983,12,ACJ,Paspalum,bonplandianum,T,C,1,2,4,10,12,2,NA,17,86,78,95,NA,1.697,2
ABO2241,12,ACJ,Halenia,umbellata,T,C,5,3,2,3,NA,1,NA,55,208,211,218,NA,1.859,1
ACJ5842,12,ACJ,Halenia,umbellata,T,C,5,2,3,7,NA,1,NA,65,125,108,92,NA,1.993,1
ACL0820,12,ACJ,Halenia,umbellata,T,C,5,2,4,7,NA,1,NA,57,0.1,114,118,NA,1.715,1
ATL3676,12,ACJ,Paspalum,bonplandianum,T,C,5,1,1,18,NA,1,NA,74,168,165,114,NA,6.359,1
ATC1189,12,ACJ,Halenia,umbellata,T,C,5,3,1,3,NA,2,NA,0.05,231,241,232,NA,15.439.999.999.999.900,2
ASV2088,12,ACJ,Paspalum,bonplandianum,T,C,5,3,1,13,NA,2,NA,76,188,218,186,NA,4.96,2
BAY7753,12,ACJ,Pernettya,prostrata,T,C,3,2,NA,24,NA,5,NA,102,565,551,511,NA,26.879.999.999.999.900,5
ALA5686,12,ACJ,Pernettya,prostrata,T,C,1,2,NA,41,NA,5,NA,83,452,417,396,NA,2.309,5
BAZ9444,12,ACJ,Pernettya,prostrata,T,C,3,1,NA,11,NA,5,NA,51,261,323,318,NA,1.808,5
AIR7210,12,QUE,Werneria,villosa,T,C,1,3,NA,2,NA,15,NA,0.07,332,288,254,NA,24.499.999.999.999.900,17
AWC5502,12,ACJ,Pernettya,prostrata,T,C,5,1,NA,7,NA,5,NA,62,211,204,179,NA,1.901,5
AUB2849,12,ACJ,Halenia,umbellata,T,C,4,3,4,18,NA,1,NA,66,219,215,NA,NA,2.529,1
ADB5258,12,ACJ,Lachemilla,orbiculata,T,C,2,2,3,9,NA,1,NA,164,225,224,197,NA,5.269,1
BJT8862,12,QUE,Euphorbia,huancachana,T,C,4,3,NA,0.1,NA,7,NA,31,248,224,182,NA,16.119.999.999.999.900,7
AKM5792,12,QUE,Carex,pygmaea,T,BB,4,1,NA,4,NA,3,NA,117,187,184,0.19,NA,3.853,3
AVY2334,12,QUE,Antennaria,linearifolia,T,BB,1,2,NA,2,NA,3,NA,58,263,273,309,NA,2.21,5
AWA4195,12,QUE,Antennaria,linearifolia,T,BB,5,2,NA,2,NA,5,NA,153,286,248,0.23,NA,3.204,9
AVX8706,12,QUE,Antennaria,linearifolia,T,BB,1,1,NA,2,NA,5,NA,121,324,313,272,NA,3.512,13
AWU8380,12,QUE,Werneria,nubigena,T,BB,4,2,NA,62,NA,3,NA,216,732,621,506,NA,3.504,3
AWX2425,12,QUE,Antennaria,linearifolia,T,BB,3,2,NA,2,NA,5,NA,33,262,269,252,NA,907,5
AWY5774,12,QUE,Antennaria,linearifolia,T,BB,3,1,NA,1,NA,1,NA,41,313,0.36,312,NA,9.410.000.000.000.000,3
BDI1045,12,QUE,Werneria,villosa,T,BB,1,5,NA,0.15,NA,10,NA,52,204,292,207,NA,1.355,12
AUV5625,12,QUE,Antennaria,linearifolia,T,BB,1,4,NA,2,NA,5,NA,133,281,288,171,NA,2.375,9
BDG8135,12,QUE,Werneria,villosa,T,BB,1,3,NA,0.1,NA,10,NA,56,298,283,332,NA,994,11
BDK7065,12,QUE,Hypochaeris,taraxacoides,T,BB,4,1,NA,1,NA,2,NA,113,194,203,197,NA,2.064,3
BFL1270,12,QUE,Paspalum,bonplandianum,T,BB,1,3,NA,5,NA,2,NA,0.05,149,0.13,0.11,NA,3.295,2
BEA0992,12,ACJ,Bromus,lanatus,T,BB,1,5,NA,11,NA,1,NA,72,239,225,209,Site missing,3.499,1
BEG7090,12,QUE,Paspalum,bonplandianum,T,BB,1,4,NA,4,NA,3,NA,45,141,119,122,NA,3.662,4
AXD5189,12,QUE,Carex,boliviensis,T,BB,4,1,NA,6,NA,1,NA,27,149,168,165,NA,1.458,2
BEC5277,12,QUE,Paspalum,bonplandianum,T,BB,1,5,NA,7,NA,2,NA,44,106,107,149,NA,32.609.999.999.999.900,6
BFP8516,12,QUE,Paspalum,bonplandianum,T,BB,1,2,NA,4,NA,2,NA,28,159,146,123,NA,1.938,3
AKC4237,12,QUE,Anatherostipa,hans-meyeri,T,BB,5,2,NA,7,NA,10,NA,58,393,392,401,NA,1.484,12
BBT3329,12,QUE,Hypochaeris,taraxacoides,T,BB,4,2,NA,1,NA,3,NA,71,207,203,0.2,NA,811,9
BVJ5644,12,QUE,Bromus,lanatus,T,BB,2,5,NA,1,NA,1,NA,59,199,204,0.21,NA,3.093,1
AWJ3734,12,QUE,Oritrophium,hieracioides,T,BB,4,3,NA,7,NA,1,NA,303,386,375,382,NA,3.948,1
