ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2,nLeafScan
BKK5041,12,QUE,Oxalis,oreocharis,T,BB,1,3,NA,4,NA,3,NA,62,244,266,236,NA,1.578,5
AIS5021,12,QUE,Oxalis,oreocharis,T,BB,1,2,NA,5,NA,3,NA,46,204,204,194,NA,1.203,4
BUI3314,12,QUE,Luzula,racemosa,T,BB,1,2,NA,7.8,NA,3,NA,0.07,239,264,258,NA,855,3
BVH0912,12,QUE,Agrostis,foliata,T,BB,1,2,NA,10,NA,2,NA,23,184,209,163,NA,1.913,2
BVD4631,12,QUE,Agrostis,foliata,T,BB,1,3,NA,12,NA,1,NA,18,153,164,151,NA,1.615,1
ABF2214,12,ACJ,Halenia,umbellata,T,C,3,2,5,8.8,NA,1,NA,69,297,304,315,NA,2.294,1
AVR0480,12,ACJ,Lachemilla,orbiculata,T,C,4,2,4,2,NA,2,NA,0.12,266,263,NA,NA,3.106,2
ACY7408,12,ACJ,Lachemilla,orbiculata,T,C,4,2,2,2,NA,1,NA,0.15,308,324,299,NA,3.602,1
ATI0785,12,ACJ,Lachemilla,orbiculata,T,C,2,3,4,3,NA,4,NA,64,294,253,NA,NA,1.393,4
AED4690,12,ACJ,Halenia,umbellata,T,C,2,3,2,5.3,NA,1,NA,42,282,292,255,NA,1.231,1
ACB4434,12,ACJ,Halenia,umbellata,T,C,2,3,1,5.3,NA,2,NA,33,271,289,301,NA,1.014,2
AUI4797,12,ACJ,Lachemilla,orbiculata,T,C,5,2,2,9,NA,4,NA,218,342,277,252,NA,5.037,4
AHB7381,12,ACJ,Halenia,umbellata,T,C,4,1,1,9,NA,1,NA,45,259,252,227,NA,1.86,1
AUK0888,12,ACJ,Lachemilla,orbiculata,T,C,5,2,4,9,NA,3,NA,189,348,303,332,NA,4.771,3
ADD1710,12,ACJ,Halenia,umbellata,T,C,4,1,2,9,NA,1,NA,65,239,236,223,NA,1.914,1
AUJ3901,12,ACJ,Lachemilla,orbiculata,T,C,5,2,5,9,NA,3,NA,222,0.27,292,313,NA,4.462,3
AVD9454,12,ACJ,Elaphoglossum,huacsaro,T,C,4,3,1,17,NA,1,NA,0.46,463,0.46,467,NA,9.392,1
ADG5889,12,ACJ,Lachemilla,orbiculata,T,C,2,1,2,6.5,NA,1,NA,0.13,308,296,317,NA,4.072,1
AWE4726,12,ACJ,Elaphoglossum,huacsaro,T,C,4,2,1,18,NA,1,NA,656,401,476,456,NA,12.472,1
ADH8686,12,ACJ,Lachemilla,orbiculata,T,C,2,1,3,6.5,NA,1,NA,167,313,309,298,NA,5.298,1
AAQ9095,12,ACJ,Halenia,umbellata,T,C,2,1,5,22.5,NA,1,NA,34,162,195,0.2,NA,1.286,1
AEH3515,12,ACJ,Lachemilla,orbiculata,T,C,3,1,5,11.2,NA,1,NA,75,223,208,208,NA,03.01,1
AEG5038,12,ACJ,Lachemilla,orbiculata,T,C,3,1,4,11.2,NA,1,NA,101,238,235,215,NA,3.819,1
AEA4811,12,ACJ,Halenia,umbellata,T,C,3,1,2,6.4,NA,1,NA,55,276,279,317,NA,1.864,1
ACV7342,12,ACJ,Lachemilla,orbiculata,T,C,4,1,4,8,NA,4,NA,254,309,244,0.28,NA,6.176,4
AAK1305,12,ACJ,Halenia,umbellata,T,C,3,1,3,6.4,NA,1,NA,57,265,277,273,NA,1.916,1
ACZ6300,12,ACJ,Lachemilla,orbiculata,T,C,4,1,3,8,NA,3,NA,272,308,299,303,NA,6.332.999.999.999.990,3
AVH1607,12,ACJ,Lachemilla,orbiculata,T,C,3,3,1,3.3,NA,1,NA,104,2.77,307,299,NA,2.817,1
AUN0427,12,ACJ,Lachemilla,orbiculata,T,C,4,1,1,8,NA,3,NA,237,0.33,279,277,NA,5.683,3
AVK6985,12,ACJ,Lachemilla,orbiculata,T,C,3,3,3,3.3,NA,1,NA,56,329,309,295,NA,1.992,1
AVL7448,12,ACJ,Lachemilla,orbiculata,T,C,3,3,4,3.3,NA,1,NA,0.02,267,255,NA,NA,1.066,1
AVI3231,12,ACJ,Lachemilla,orbiculata,T,C,3,3,2,3.3,NA,1,NA,133,322,285,278,NA,3.494,1
AAV4547,12,ACJ,Hieracium,c.f. mandonii,T,C,2,1,NA,8.3,NA,1,NA,187,372,331,353,Leaf nr missing,5.438,1
AAO3522,12,ACJ,Halenia,umbellata,T,C,2,1,2,22.5,NA,1,NA,56,296,325,0.28,NA,1.937,1
AAP4494,12,ACJ,Halenia,umbellata,T,C,2,1,4,22.5,NA,1,NA,35,0.29,268,NA,NA,1.079,1
AET0501,12,ACJ,Lachemilla,orbiculata,T,C,5,3,4,4,NA,1,NA,64,262,233,231,NA,1.934,1
AEU2525,12,ACJ,Lachemilla,orbiculata,T,C,5,3,5,4,NA,5,NA,49,0.3,0.27,0.26,NA,1.804,5
AAN5188,12,ACJ,Halenia,umbellata,T,C,2,2,1,12.6,NA,1,NA,43,239,282,287,NA,1.727,1
AAZ5543,12,ACJ,Halenia,umbellata,T,C,2,2,2,12.6,NA,1,NA,66,358,285,0.5,NA,2.516,1
ABB6047,12,ACJ,Halenia,umbellata,T,C,2,2,3,12.6,NA,1,NA,46,438,0.56,297,NA,1.822,1
AEB9826,12,ACJ,Halenia,umbellata,T,C,2,1,1,22.5,NA,1,NA,52,245,238,241,NA,1.799,1
AUA6916,12,ACJ,Lachemilla,orbiculata,T,C,5,1,2,7,NA,6,NA,166,234,212,237,NA,4.414,6
AVF0584,12,ACJ,Elaphoglossum,huacsaro,T,C,4,1,1,20,NA,1,NA,584,454,441,413,NA,10.799,1
ABA6252,12,ACJ,Halenia,umbellata,T,C,2,2,4,12.6,NA,1,NA,63,213,0.22,241,NA,2.269,1
ACA8496,12,ACJ,Halenia,umbellata,T,C,2,2,5,12.6,NA,1,NA,71,243,0.21,155,NA,2.642,1
ADF3723,12,ACJ,Halenia,umbellata,T,C,1,1,5,6.5,NA,1,NA,49,0.29,271,184,Leaf nr missing,1.455,1
ATW0117,12,ACJ,Halenia,umbellata,T,C,4,3,2,18,NA,1,NA,53,197,187,173,NA,1.854,1
ATN8453,12,ACJ,Lachemilla,orbiculata,T,C,2,3,1,3,NA,1,NA,63,217,231,163,NA,1.834,1
ATH7116,12,ACJ,Paspalum,bonplandianum,T,C,3,3,5,14,16,1,NA,42,109,94,121,NA,3.195,1
ADO6855,12,ACJ,Paspalum,bonplandianum,T,C,5,1,4,18,NA,1,NA,59,0.08,84,81,NA,5.837,1
ABZ5836,12,ACJ,Paspalum,bonplandianum,T,C,3,1,4,11.7,16,NA,NA,82,83,94,111,NA,NA,NA
ACG5039,12,ACJ,Paspalum,bonplandianum,T,C,4,3,5,17,18,1,NA,98,84,113,103,NA,7.329,1
BHK5486,12,ACJ,Gaultheria,glomerata,T,C,3,3,3,17.8,NA,1,NA,314,587,0.59,548,NA,6.91,1
BHS1020,12,ACJ,Gaultheria,glomerata,T,C,3,3,2,17.8,NA,1,NA,326,516,523,533,NA,7.594,1
BEI1150,12,ACJ,Gaultheria,glomerata,T,C,5,2,4,15,NA,1,NA,0.27,509,504,508,NA,6.899,1
BFJ2981,12,ACJ,Gaultheria,glomerata,T,C,5,2,3,15,NA,1,NA,239,711,545,538,NA,5.49,1
AHY2796,12,ACJ,Lachemilla,orbiculata,T,C,1,1,4,9,NA,1,NA,86,246,243,235,NA,3.095,1
BGL1606,12,ACJ,Gaultheria,glomerata,T,C,1,1,1,14.4,NA,1,NA,231,544,536,536,NA,4.982,1
BGP2526,12,ACJ,Gaultheria,glomerata,T,C,1,1,2,14.4,NA,1,NA,193,475,475,475,NA,4.669,1
BFN1445,12,ACJ,Gaultheria,glomerata,T,C,1,1,4,14.4,NA,1,NA,252,514,529,0.53,NA,5.829,1
BFR1435,12,ACJ,Gaultheria,glomerata,T,C,1,1,5,14.4,NA,1,NA,228,561,543,552,NA,4.968,1
BJD7505,12,ACJ,Gaultheria,glomerata,T,C,5,2,2,15.6,NA,1,NA,285,524,525,524,NA,6.291,1
AHW9145,12,ACJ,Lachemilla,orbiculata,T,C,1,1,2,9,NA,3,NA,0.09,209,223,201,NA,27.479.999.999.999.900,3
AHX3240,12,ACJ,Lachemilla,orbiculata,T,C,1,1,3,9,NA,2,NA,66,222,213,215,NA,1.519,2
BHG7419,12,ACJ,Gaultheria,glomerata,T,C,5,1,2,12,NA,1,NA,336,572,0.56,594,NA,6.834,1
BHT4930,12,ACJ,Gaultheria,glomerata,T,C,5,1,1,12,NA,1,NA,273,554,0.57,571,NA,5.895,1
AID0930,12,ACJ,Lachemilla,orbiculata,T,C,1,1,1,9,NA,1,NA,61,246,223,239,NA,2.335,1
BHL9697,12,ACJ,Gaultheria,glomerata,T,C,5,1,4,12,NA,1,NA,212,529,516,0.55,NA,4.731,1
AFA0140,12,ACJ,Paspalum,bonplandianum,T,C,3,3,3,14,NA,1,NA,0.03,99,92,92,NA,2.339,1
BIB0398,12,ACJ,Gaultheria,glomerata,T,C,3,3,1,17.8,NA,1,NA,368,554,548,524,NA,8.355,1
BFM4142,12,ACJ,Gaultheria,glomerata,T,C,1,1,3,14.4,NA,1,NA,215,0.61,556,574,NA,4.907,1
BHH3084,12,ACJ,Gaultheria,glomerata,T,C,5,1,3,12,NA,1,NA,288,529,525,561,NA,5.987,1
BDU0230,12,ACJ,Gaultheria,glomerata,T,C,2,1,2,15.6,NA,1,NA,166,489,476,501,NA,4.203,1
BHV0771,12,ACJ,Gaultheria,glomerata,T,C,2,1,1,15.6,NA,1,NA,211,501,517,484,NA,4.932,1
BHP2121,12,ACJ,Gaultheria,glomerata,T,C,5,1,5,12,NA,1,NA,287,541,573,607,NA,5.709,1
ATG4892,12,ACJ,Halenia,umbellata,T,C,4,2,2,9.5,NA,1,NA,0.07,243,0.25,236,NA,2.522,1
AWP2046,12,ACJ,Eriosorus,cheilanthoides,T,C,4,1,NA,30,NA,6,NA,475,108,88,151,NA,9.479,6
AEZ3585,12,ACJ,Paspalum,bonplandianum,T,C,3,3,4,14,16,1,NA,63,196,147,153,NA,5.033,1
AWR9211,12,ACJ,Eriosorus,cheilanthoides,T,C,4,2,NA,41,NA,2,NA,876,154,152,174,NA,17.572,2
ABT4493,12,ACJ,Paspalum,bonplandianum,T,C,1,1,2,18,20.5,1,NA,72,85,105,163,NA,5.95,1
AUM3741,12,ACJ,Paspalum,bonplandianum,T,C,1,2,2,9.5,12,1,NA,27,89,93,103,NA,2.468,1
ABS7148,12,ACJ,Paspalum,bonplandianum,T,C,1,1,4,18,20.5,1,NA,48,96,88,112,Entered two times,4.488,1
AUR9891,12,ACJ,Eriosorus,cheilanthoides,T,C,1,1,NA,32,NA,1,NA,791,201,123,188,NA,10.967,1
ACI4396,12,ACJ,Paspalum,bonplandianum,T,C,5,2,1,20,NA,2,NA,89,79,0.1,125,NA,7.579,2
ASM0021,12,ACJ,Paspalum,bonplandianum,T,C,1,1,4,18,20.5,1,NA,62,85,97,145,NA,4.941,1
ABQ1404,12,ACJ,Paspalum,bonplandianum,T,C,2,2,4,NA,NA,1,NA,26,97,93,101,Plant height could be 22 cm or 36 cm,1.922,1
BFX6210,12,ACJ,Gaultheria,glomerata,T,C,2,1,5,15.6,NA,1,NA,162,0.46,448,448,NA,4.197,1
BDR3415,12,ACJ,Gaultheria,glomerata,T,C,2,1,4,15.6,NA,2,NA,226,525,529,0.51,NA,5.081,2
BDQ8286,12,ACJ,Gaultheria,glomerata,T,C,2,1,3,15.6,NA,1,NA,235,534,526,549,NA,5.205,1
BGE1203,12,ACJ,Gaultheria,glomerata,T,C,2,2,4,10.1,NA,1,NA,121,433,0.46,451,NA,3.139,1
BID2754,12,ACJ,Gaultheria,glomerata,T,C,2,2,5,10.1,NA,1,NA,139,491,464,465,NA,3.409,1
BFW3433,12,ACJ,Gaultheria,glomerata,T,C,2,2,2,10.1,NA,1,NA,107,415,0.41,416,NA,2.858,1
BHZ4268,12,ACJ,Gaultheria,glomerata,T,C,2,2,3,10.1,NA,1,NA,0.11,484,494,466,NA,2.726,1
BED4523,12,ACJ,Gaultheria,glomerata,T,C,5,3,1,12.5,NA,1,NA,167,459,472,464,NA,4.508,1
BEH4888,12,ACJ,Gaultheria,glomerata,T,C,5,3,2,12.5,NA,1,NA,181,519,0.53,503,NA,4.244,1
BES9370,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,3,41,66,4,NA,296,244,235,236,NA,13.929,4
BIY3008,12,ACJ,Gaultheria,glomerata,T,C,4,3,2,10,NA,1,NA,161,509,505,0.51,NA,3.864,1
BIO4239,12,ACJ,Gaultheria,glomerata,T,C,4,2,4,19,NA,2,NA,217,508,0.5,532,NA,5.148.000.000.000.000,2
BIW1826,12,ACJ,Gaultheria,glomerata,T,C,4,2,5,19,NA,1,NA,152,473,482,492,NA,4.054,1
BIZ5523,12,ACJ,Gaultheria,glomerata,T,C,4,3,4,10,NA,2,NA,114,528,557,0.55,NA,2.473,2
BJA1325,12,ACJ,Gaultheria,glomerata,T,C,4,3,3,10,NA,2,NA,135,0.53,527,554,NA,3.045,2
BIL4667,12,ACJ,Baccharis,genistelloides,T,C,5,2,NA,40,NA,5,NA,294,211,0.24,228,NA,10.128,5
BIS2527,12,ACJ,Gaultheria,glomerata,T,C,4,2,3,19,NA,2,NA,0.18,582,554,534,NA,3.891,2
BGI6077,12,ACJ,Baccharis,genistelloides,T,C,5,3,NA,28,NA,6,NA,338,277,0.22,233,NA,9.089,6
BGH0791,12,ACJ,Rhynchospora,macrochaeta,T,C,3,1,NA,18.7,21.6,2,NA,344,313,326,333,NA,11.423,2
BFC4303,12,ACJ,Carex,pichinchensis,T,C,3,3,NA,57,57,4,NA,527,293,297,283,NA,24.057.000.000.000.000,4
BHI1101,12,ACJ,Carex,pichinchensis,T,C,5,2,NA,57,58,6,NA,464,349,232,147,NA,19.682,6
BDJ9438,12,ACJ,Hieracium,c.f. mandonii,T,C,5,3,NA,16,NA,1,NA,249,239,214,204,NA,6.957,1
AHO4802,12,ACJ,Lachemilla,orbiculata,T,C,1,2,5,2.5,NA,1,NA,169,335,269,318,NA,3.839,1
AHU9337,12,ACJ,Lachemilla,orbiculata,T,C,1,2,4,2.5,NA,1,NA,132,297,287,308,NA,3.499,1
AHT7283,12,ACJ,Lachemilla,orbiculata,T,C,1,2,3,2.5,NA,2,NA,172,351,398,388,NA,4.46,2
BIK8949,12,ACJ,Gaultheria,glomerata,T,C,4,2,2,19,NA,1,NA,205,495,525,496,NA,05.07,1
BCM7248,12,ACJ,Carex,pichinchensis,T,C,3,1,NA,19.5,24.3,2,NA,0.31,243,211,196,NA,10.341.000.000.000.000,2
BBX7809,12,ACJ,Carex,pichinchensis,T,C,3,2,NA,17.2,24.3,2,NA,344,225,201,189,NA,15.536.000.000.000.000,2
BFF2916,12,ACJ,Hieracium,c.f. mandonii,T,C,5,1,NA,12,NA,1,NA,307,238,238,251,NA,9.604,1
BFE5770,12,ACJ,Hieracium,c.f. mandonii,T,C,5,2,NA,16,NA,1,NA,0.21,208,211,183,NA,6.332,1
BHM6297,12,ACJ,Carex,pichinchensis,T,C,5,1,NA,40,54.5,5,NA,649,357,252,357,NA,27.499.000.000.000.000,5
BKU8933,12,ACJ,Carex,pichinchensis,T,C,5,3,NA,41,44,5,NA,311,138,123,105,NA,15.155.999.999.999.900,5
BGM5825,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,3,42.3,53.7,5,NA,488,252,258,254,NA,19.773,5
BJS7544,12,ACJ,Gaultheria,glomerata,T,C,4,1,1,10.5,NA,1,NA,129,457,0.46,448,NA,3.755,1
BIC3765,12,ACJ,Gaultheria,glomerata,T,C,4,1,2,10.5,NA,1,NA,118,447,446,449,NA,3.465,1
BHJ1002,12,ACJ,Gaultheria,glomerata,T,C,4,1,3,10.5,NA,1,NA,126,491,502,0.52,NA,3.319,1
BCC0020,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,1,42.3,53.7,7,NA,0.41,239,256,223,NA,14.472.999.999.999.900,7
BEO5878,12,ACJ,Rhynchospora,macrochaeta,T,C,5,3,1,24,63,3,NA,464,275,281,0.29,NA,16.637,3
AIB4312,12,ACJ,Eriosorus,cheilanthoides,T,C,3,2,NA,11.5,NA,1,NA,0.31,389,0.24,338,NA,5.717,1
AIC7150,12,ACJ,Eriosorus,cheilanthoides,T,C,3,3,NA,12.6,NA,1,NA,251,0.31,383,482,NA,3.572,1
BFO4074,12,ACJ,Gaultheria,glomerata,T,C,5,3,4,12.5,NA,1,NA,111,381,394,0.4,NA,3.658,1
BFT9536,12,ACJ,Gaultheria,glomerata,T,C,5,3,5,12.5,NA,1,NA,141,435,446,438,NA,3.863,1
BGU4733,12,ACJ,Gaultheria,glomerata,T,C,1,3,NA,22.1,NA,1,NA,131,0.42,419,418,NA,4.166,1
BIG1752,12,ACJ,Gaultheria,glomerata,T,C,4,2,1,19,NA,1,NA,234,505,516,535,NA,5.119,1
BFG1747,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,3,50.4,72.7,3,NA,765,284,304,0.3,NA,29.497,3
BBW3917,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,2,50.4,72.7,4,NA,998,281,272,0.28,NA,37.105.000.000.000.000,4
BJB1336,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,4,50.4,72.7,6,NA,794,0.28,283,273,NA,33.575,6
BEF1022,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,1,26.5,43.9,3,NA,2.81,248,248,0.25,NA,12.518,3
BIX3249,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,5,50.4,72.7,6,NA,652,2.89,2.96,0.29,NA,25.605,6
BDZ2036,12,ACJ,Gaultheria,glomerata,T,C,5,2,5,15,NA,1,NA,294,531,485,533,NA,7.31,1
BGN2485,12,ACJ,Gaultheria,glomerata,T,C,1,2,2,21.5,NA,1,NA,275,455,456,453,NA,7.924,1
BGR9485,12,ACJ,Gaultheria,glomerata,T,C,1,2,3,21.5,NA,1,NA,302,492,0.43,456,NA,8.529,1
BHO2021,12,ACJ,Gaultheria,glomerata,T,C,3,3,5,17.8,NA,1,NA,316,621,584,589,NA,6.658,1
BHX1453,12,ACJ,Gaultheria,glomerata,T,C,3,3,4,17.8,NA,1,NA,0.28,505,558,0.53,NA,6.799,1
BGX6274,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,3,26.5,43.9,4,NA,236,238,234,0.25,NA,18.932.000.000.000.000,4
BGT4117,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,2,26.5,43.9,2,NA,146,226,233,0.25,NA,6.384,2
BFI4689,12,ACJ,Gaultheria,glomerata,T,C,5,2,1,15,NA,1,NA,321,539,519,517,NA,7.465,1
BFV8407,12,ACJ,Gaultheria,glomerata,T,C,1,2,1,21.5,NA,1,NA,342,423,429,418,NA,9.934,1
BGF6708,12,ACJ,Gaultheria,glomerata,T,C,2,2,1,10,NA,1,NA,88,436,431,0.45,NA,2.207,1
BJK8108,12,ACJ,Rhynchospora,macrochaeta,T,C,4,1,4,33,47,2,NA,352,254,254,267,NA,15.224,2
BJC7535,12,ACJ,Rhynchospora,macrochaeta,T,C,4,2,2,30,46,3,NA,259,192,207,186,NA,12.604.000.000.000.000,3
BFH2067,12,ACJ,Elaphoglossum,amphioxys,T,C,3,3,NA,18.7,NA,1,NA,1.021,594,622,628,NA,18.193,1
AHQ2490,12,ACJ,Chaptalia,cordata,T,C,3,1,NA,3.3,NA,1,NA,186,353,321,319,NA,4.144,1
BGZ7243,12,ACJ,Rhynchospora,macrochaeta,T,C,3,2,2,33.5,42.5,6,NA,292,214,211,0.21,NA,13.284,6
BGD0457,12,ACJ,Rhynchospora,macrochaeta,T,C,3,2,5,33.5,42.5,4,NA,0.27,221,215,234,NA,13.38,4
BHA7883,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,4,42.3,53.7,3,NA,215,229,238,233,NA,10.973,3
BGW0254,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,5,42.3,53.7,5,NA,379,233,234,238,NA,12.902.000.000.000.000,5
AYZ0852,12,ACJ,Rhynchospora,macrochaeta,T,C,3,3,2,42.3,53.7,8,NA,517,249,246,242,NA,18.233,8
AZW5426,12,ACJ,Rhynchospora,macrochaeta,T,C,1,3,1,28,31.8,1,NA,0.31,243,245,241,NA,12.965,1
BDB3766,12,ACJ,Elaphoglossum,amphioxys,T,C,1,2,NA,16.5,NA,1,NA,823,0.64,673,678,NA,11.636,1
AFJ6348,12,ACJ,Elaphoglossum,amphioxys,T,C,1,1,NA,22,NA,1,NA,1.796,773,776,778,NA,24.461,1
BCH3510,12,ACJ,Elaphoglossum,amphioxys,T,C,2,3,NA,14.5,NA,1,NA,0.66,601,595,596,NA,10.999,1
BBR4554,12,ACJ,Hypericum,andinum,T,C,2,2,NA,27,NA,62,10,58,132,131,158,NA,29.819.999.999.999.900,62
BCD3125,12,ACJ,Elaphoglossum,amphioxys,T,C,2,2,NA,9.5,NA,1,NA,627,762,728,0.68,NA,9.614,1
AHK4586,12,ACJ,Carex,pichinchensis,T,C,4,1,NA,26,60,11,NA,423,306,255,305,NA,10.357,11
BBZ1433,12,ACJ,Elaphoglossum,amphioxys,T,C,2,1,NA,15.5,NA,1,NA,1.389,487,539,539,NA,20.565,1
BJO6731,12,ACJ,Rhynchospora,macrochaeta,T,C,4,1,3,33,47,5,NA,305,0.27,266,256,NA,12.667,5
BJW7612,12,ACJ,Rhynchospora,macrochaeta,T,C,4,1,2,33,47,5,NA,0.3,266,263,261,NA,12.804,5
BAE5311,12,ACJ,Elaphoglossum,huacsaro,T,C,5,2,NA,12.7,NA,5,NA,628,0.48,508,453,NA,11.86,5
BAF3647,12,ACJ,Elaphoglossum,huacsaro,T,C,5,3,NA,19,NA,2,NA,811,429,0.43,463,NA,15.744,2
BBN2864,12,ACJ,Hypericum,andinum,T,C,2,3,NA,39.5,NA,55,10,49,158,185,177,NA,2.496,55
BIT3931,12,ACJ,Baccharis,genistelloides,T,C,1,3,NA,33.5,NA,12,NA,489,0.28,289,277,NA,10.748,12
BER2051,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,2,41,66,4,NA,618,266,269,0.27,NA,24.156,4
BAC4448,12,ACJ,Hypericum,andinum,T,C,4,2,NA,18,NA,66,NA,42,115,127,145,NA,2.658,66
BAG8355,12,ACJ,Hypericum,andinum,T,C,4,1,NA,13,NA,49,NA,0.04,0.12,134,0.17,NA,2.494,49
BFA3572,12,ACJ,Rhynchospora,macrochaeta,T,C,5,1,2,48,78,5,NA,578,238,239,254,NA,23.387,5
BEX3082,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,1,41,66,NA,NA,488,249,247,253,NA,NA,NA
BDN3235,12,ACJ,Elaphoglossum,amphioxys,T,C,3,1,NA,34,NA,3,NA,5.441,726,757,705,NA,71.467,3
BIP2743,12,ACJ,Baccharis,genistelloides,T,C,1,1,NA,13,NA,9,NA,191,187,202,196,NA,8.144,9
BFS6331,12,ACJ,Baccharis,genistelloides,T,C,1,2,NA,18.9,NA,8,NA,367,261,273,289,NA,8.419,8
BCJ9446,12,ACJ,Rhynchospora,macrochaeta,T,C,2,1,1,50.4,72.7,13,NA,991,284,301,295,NA,39.558,13
BHN3887,12,ACJ,Elaphoglossum,huacsaro,T,C,3,1,NA,13.1,NA,2,NA,453,622,621,621,NA,7.781,2
BCX5328,12,ACJ,Elaphoglossum,amphioxys,T,C,3,2,NA,17.6,NA,1,NA,1.763,707,695,667,NA,25.763,1
BHU0841,12,ACJ,Carex,pichinchensis,T,C,4,2,NA,32,36,2,NA,556,0.35,373,0.36,NA,16.517,2
BEW4359,12,ACJ,Rhynchospora,macrochaeta,T,C,5,1,4,48,78,5,NA,931,253,258,279,NA,36.115,5
BHQ5433,12,ACJ,Carex,pichinchensis,T,C,4,3,NA,30,59,5,NA,621,288,288,332,NA,22.121,5
BET8756,12,ACJ,Rhynchospora,macrochaeta,T,C,5,2,4,41,66,3,NA,648,259,254,244,NA,24.683,3
BBF2504,12,ACJ,Elaphoglossum,huacsaro,T,C,2,2,NA,28,NA,1,NA,0.98,0.57,511,561,NA,17.041,1
BHF4372,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,5,26.5,43.9,3,NA,257,199,181,219,NA,10.374,3
BJG2262,12,ACJ,Rhynchospora,macrochaeta,T,C,4,2,1,30,46,3,NA,411,217,195,268,NA,18.58,3
BKA5776,12,ACJ,Rhynchospora,macrochaeta,T,C,4,2,3,30,46,9,NA,489,219,0.2,221,NA,22.278,9
BHR1816,12,ACJ,Elaphoglossum,huacsaro,T,C,3,3,NA,7.9,NA,2,NA,219,595,539,547,NA,4.189,2
BCF1541,12,ACJ,Elaphoglossum,huacsaro,T,C,3,2,NA,15.2,NA,2,NA,318,608,572,599,NA,5.630.999.999.999.990,2
BAH2272,12,ACJ,Vaccinium,floribundum,T,C,2,1,1,57,NA,5,NA,73,451,549,547,NA,1.972,5
AKX4299,12,ACJ,Pernettya,prostrata,T,C,1,1,NA,34,NA,5,NA,85,587,549,553,NA,2.303,5
BCK8014,12,ACJ,Chaptalia,cordata,T,C,5,2,NA,9.5,NA,1,NA,658,0.47,423,396,NA,14.363,1
BEJ4401,12,ACJ,Rhynchospora,macrochaeta,T,C,1,1,2,31,35,4,NA,311,289,294,268,NA,11.177,4
BEK0489,12,ACJ,Rhynchospora,macrochaeta,T,C,1,1,3,31,35,7,NA,379,295,296,296,NA,13.28,7
BEL0587,12,ACJ,Rhynchospora,macrochaeta,T,C,1,1,4,31,35,4,NA,289,287,0.31,297,NA,9.789,4
BEE4142,12,ACJ,Rhynchospora,macrochaeta,T,C,1,1,5,31,35,4,NA,207,297,314,319,NA,6.662,4
BBD5742,12,ACJ,Vaccinium,floribundum,T,C,1,1,5,24.8,NA,5,NA,95,506,505,489,NA,2.697,5
BCG1548,12,ACJ,Rhynchospora,macrochaeta,T,C,3,2,1,33.5,42.5,8,NA,231,226,0.22,206,NA,10.331,8
BGJ6213,12,ACJ,Baccharis,genistelloides,T,C,5,1,NA,48.9,NA,4,NA,382,251,0.28,257,NA,10.362,4
BEP3008,12,ACJ,Rhynchospora,macrochaeta,T,C,1,1,1,31,35,5,NA,392,285,268,279,NA,14.31,5
BDM8832,12,ACJ,Chaptalia,cordata,T,C,4,1,NA,9,NA,1,NA,362,347,375,389,NA,7.95,1
BCT1282,12,ACJ,Chaptalia,cordata,T,C,4,2,NA,4,NA,1,NA,429,449,503,0.48,NA,9.123,1
BFD5127,12,ACJ,Chaptalia,cordata,T,C,4,3,NA,3,NA,1,NA,779,338,313,0.32,NA,20.243,1
BCS9988,12,ACJ,Chaptalia,cordata,T,C,5,3,NA,21,NA,1,NA,878,408,473,382,NA,18.85,1
BAA4393,12,ACJ,Elaphoglossum,huacsaro,T,C,5,1,NA,18.1,NA,1,NA,386,521,499,517,NA,7.096,1
AHS3014,12,ACJ,Lachemilla,orbiculata,T,C,1,2,2,2.5,NA,1,NA,184,334,307,327,NA,4.614,1
AHZ5138,12,ACJ,Lachemilla,orbiculata,T,C,1,2,1,2.5,NA,1,NA,162,434,319,322,NA,4.386,1
AIA8185,12,ACJ,Eriosorus,cheilanthoides,T,C,3,1,NA,20.9,NA,1,NA,816,471,483,435,NA,13.453,1
BHB3462,12,ACJ,Rhynchospora,macrochaeta,T,C,1,2,4,26.5,43.9,1,NA,151,232,244,226,NA,6.233,1
BIE6205,12,ACJ,Gaultheria,glomerata,T,C,3,2,1,4.6,NA,1,NA,161,486,495,459,NA,4.319,1
