country,course,project,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,taxon,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,T,BHL9697,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,12,1,1,0.212,0.0923,4.731,51.25677139761647,0.435377358490566,0.5316666666666667,NA,NA,NA
PE,PFTC5,T,AFA0140,2020,March,2020-03-12,1,ACJ,C,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,3,14,1,1,0.03,0.01,2.339,233.9,0.33333333333333337,0.09433333333333334,NA,NA,NA
PE,PFTC5,T,BIB0398,2020,March,2020-03-12,1,ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,17.8,1,1,0.368,0.1787,8.355,46.75433687744824,0.4855978260869565,0.542,NA,NA,NA
PE,PFTC5,T,BFM4142,2020,March,2020-03-12,1,ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,14.4,1,1,0.215,0.1122,4.907,43.73440285204991,0.521860465116279,0.58,NA,NA,NA
PE,PFTC5,T,BHH3084,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,12,1,1,0.288,0.1212,5.987,49.397689768976896,0.4208333333333334,0.5383333333333333,NA,NA,NA
PE,PFTC5,T,BDU0230,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,15.6,1,1,0.166,0.072,4.203,58.37500000000001,0.4337349397590361,0.48866666666666664,NA,NA,NA
PE,PFTC5,T,BHV0771,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,15.6,1,1,0.211,0.0919,4.932,53.66702937976061,0.43554502369668247,0.5006666666666667,NA,NA,NA
PE,PFTC5,T,BHP2121,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,12,1,1,0.287,0.1204,5.709,47.41694352159468,0.4195121951219512,0.5736666666666667,NA,NA,NA
PE,PFTC5,T,ATG4892,2020,March,2020-03-12,1,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,9.5,1,1,0.07,0.0153,2.522,164.83660130718954,0.21857142857142856,0.243,NA,NA,NA
PE,PFTC5,T,AWP2046,2020,March,2020-03-12,1,ACJ,C,4,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,1,30,1,6,0.475,0.1334,9.479,71.05697151424287,0.2808421052631579,0.11566666666666667,NA,NA,NA
PE,PFTC5,T,AEZ3585,2020,March,2020-03-12,1,ACJ,C,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,3,14,1,1,0.063,0.0172,5.033,292.6162790697675,0.273015873015873,0.16533333333333333,NA,NA,NA
PE,PFTC5,T,AWR9211,2020,March,2020-03-12,1,ACJ,C,4,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,2,41,1,2,0.876,0.2116,17.572,83.04347826086956,0.2415525114155251,0.16,NA,NA,NA
PE,PFTC5,T,ABT4493,2020,March,2020-03-12,1,ACJ,C,1,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,1,18,1,1,0.072,0.0203,5.95,293.1034482758621,0.28194444444444444,0.11766666666666667,NA,NA,NA
PE,PFTC5,T,AUM3741,2020,March,2020-03-12,1,ACJ,C,1,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,2,9.5,1,1,0.027,0.0066,2.468,373.93939393939394,0.24444444444444444,0.095,NA,NA,NA
PE,PFTC5,T,ABS7148,2020,March,2020-03-12,1,ACJ,C,1,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,1,18,1,1,0.048,0.012,4.488,374,0.25,0.09866666666666667,NA,NA,NA
PE,PFTC5,T,AUR9891,2020,March,2020-03-12,1,ACJ,C,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,1,32,1,1,0.791,0.2078,10.967,52.776708373435994,0.2627054361567636,0.17066666666666666,NA,NA,NA
PE,PFTC5,T,ACI4396,2020,March,2020-03-12,1,ACJ,C,5,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,2,20,1,2,0.089,0.0243,7.579,311.89300411522635,0.27303370786516856,0.10133333333333333,NA,NA,NA
PE,PFTC5,T,ASM0021,2020,March,2020-03-12,1,ACJ,C,1,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,1,18,1,1,0.062,0.0186,4.941,265.6451612903226,0.3,0.109,NA,NA,NA
PE,PFTC5,T,ABQ1404,2020,March,2020-03-12,1,ACJ,C,2,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,2,NA,1,1,0.026,0.0065,1.922,295.6923076923077,0.25,0.097,NA,NA,NA
PE,PFTC5,T,BFX6210,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,15.6,1,1,0.162,0.0719,4.197,58.37273991655076,0.4438271604938272,0.452,NA,NA,NA
PE,PFTC5,T,BDR3415,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,15.6,1,2,0.226,0.0995,5.081,51.06532663316583,0.44026548672566373,0.5213333333333333,NA,NA,NA
PE,PFTC5,T,BDQ8286,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,15.6,1,1,0.235,0.155,5.205,33.58064516129032,0.6595744680851064,0.5363333333333333,NA,NA,NA
PE,PFTC5,T,BGE1203,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,10.1,1,1,0.121,0.0485,3.139,64.72164948453607,0.40082644628099173,0.448,NA,NA,NA
PE,PFTC5,T,BID2754,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,10.1,1,1,0.139,0.052,3.409,65.5576923076923,0.3741007194244604,0.47333333333333333,NA,NA,NA
PE,PFTC5,T,BFW3433,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,10.1,1,1,0.107,0.04,2.858,71.45,0.3738317757009346,0.4136666666666666,NA,NA,NA
PE,PFTC5,T,BHZ4268,2020,March,2020-03-12,1,ACJ,C,2,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,10.1,1,1,0.11,0.0406,2.726,67.14285714285715,0.3690909090909091,0.48133333333333334,NA,NA,NA
PE,PFTC5,T,BED4523,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,12.5,1,1,0.167,0.0793,4.508,56.84741488020177,0.47485029940119755,0.465,NA,NA,NA
PE,PFTC5,T,BEH4888,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,12.5,1,1,0.181,0.0796,4.244,53.31658291457286,0.43977900552486193,0.5173333333333333,NA,NA,NA
