country,course,project,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,Puna,T,AFN4501,2019,April,2019-04-10,1,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,5,16,6,9,0.013888888888888888,0.005111111111111111,0.3053444444444444,59.74130434782608,0.36800000000000005,0.43733333333333335,NA,NA,NA
PE,Puna,T,AFO2714,2019,April,2019-04-10,1,TRE,C,1,Gramminoid,Poaceae,Agrostis mertensii,Agrostis,mertensii,1,14,5,5,0.0094,0.0052,0.53074,102.06538461538462,0.553191489361702,0.162,NA,NA,NA
PE,Puna,T,AFP7889,2019,April,2019-04-12,1,TRE,C,1,Gramminoid,Poaceae,Agrostis mertensii,Agrostis,mertensii,3,16,5,5,0.0078,0.0046,0.49168,106.88695652173914,0.5897435897435898,0.142,NA,NA,NA
PE,Puna,T,AFR3015,2019,April,2019-04-10,1,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,2,4,4,4,0.0155,0.00575,0.573425,99.72608695652174,0.3709677419354839,0.31566666666666665,NA,NA,NA
PE,Puna,T,AFS1830,2019,April,2019-04-10,1,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,5,11,10,10,0.013000000000000001,0.006,0.51683,86.13833333333334,0.4615384615384615,0.269,NA,NA,NA
PE,Puna,T,AFT5067,2019,April,2019-04-10,1,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,3,12,10,10,0.010100000000000001,0.0047,0.34229,72.82765957446807,0.4653465346534653,0.3576666666666667,NA,NA,NA
PE,Puna,T,AFU0711,2019,April,2019-04-10,1,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,1,15,1,1,0.333,0.033,6.881,208.5151515151515,0.0990990990990991,0.3516666666666666,NA,NA,NA
PE,Puna,T,AFV9709,2019,April,2019-04-10,1,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,4,12,10,10,0.0129,0.0067,0.42465,63.38059701492538,0.5193798449612403,0.29233333333333333,NA,NA,NA
PE,Puna,T,AFW5729,2019,April,2019-04-10,1,ACJ,C,1,Woody,Ericaceae,Gaultheria vaccinioides,Gaultheria,vaccinioides,2,22,10,10,0.0128,0.004399999999999999,0.28583,64.96136363636364,0.34374999999999994,0.39266666666666666,NA,NA,NA
PE,Puna,T,AGA9227,2019,April,2019-04-10,1,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,3,3,3,3,0.066,0.009333333333333334,1.9230666666666665,206.04285714285712,0.1414141414141414,0.19266666666666665,NA,NA,NA
PE,Puna,T,AGB1312,2019,April,2019-04-10,1,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,4,4,3,3,0.06799999999999999,0.010666666666666666,1.8177666666666665,170.415625,0.15686274509803924,0.18533333333333335,NA,NA,NA
PE,Puna,T,AGC4838,2019,April,2019-04-10,1,TRE,C,3,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris,taraxacoides,5,3,3,3,0.04833333333333333,0.007,1.4706666666666666,210.09523809523807,0.14482758620689656,0.176,NA,NA,NA
PE,Puna,T,AGD3705,2019,April,2019-04-10,1,TRE,C,2,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,1,3,10,10,0.006500000000000001,0.0016,0.27503,171.89374999999998,0.24615384615384614,0.2526666666666667,NA,NA,NA
PE,Puna,T,ANA0037,2019,April,2019-04-12,1,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,4,3,NA,63,9.682539682539682e-4,1.746031746031746e-4,0.06655555555555555,381.1818181818182,0.18032786885245902,0.14366666666666666,NA,NA,NA
PE,Puna,T,ANB6723,2019,April,2019-04-12,1,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,3,3,NA,35,4.5714285714285713e-4,0,0.044199999999999996,Inf,0,0.09466666666666666,NA,NA,NA
PE,Puna,T,ANC7056,2019,April,2019-04-12,1,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,2,2,NA,69,0.0012173913043478262,2.0289855072463768e-4,0.09468550724637681,466.6642857142857,0.16666666666666666,0.17033333333333334,NA,NA,NA
PE,Puna,T,AND3042,2019,April,2019-04-12,1,ACJ,B,2,Forb,Asteraceae,Laestadia musicola,Laestadia,musicola,1,2,NA,35,7.714285714285715e-4,1.7142857142857143e-4,0.06604285714285714,385.25,0.2222222222222222,0.11,NA,NA,NA
