year,season,month,site,treatment,plot_id,family,functional_group,taxon,cover,burn_year,elevation,latitude,longitude,course
2018,wet_season,March,ACJ,B,4,Cyperaceae,Graminoid,Carex pichinchensis,3,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Cyperaceae,Graminoid,Carex pygmaea,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Cyperaceae,Graminoid,Rhynchospora macrochaeta,2,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Ericaceae,Woody,Gaultheria glomerata,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Ericaceae,Woody,Pernettya prostrata,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Ericaceae,Woody,Vaccinium floribundum,2,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Gentianaceae,Forb,Halenia umbellata,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Melastomataceae,Woody,Brachyotum grisebachii,2,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Poaceae,Graminoid,Agrostis mertensii,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Poaceae,Graminoid,Calamagrostis tarmensis,60,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Poaceae,Graminoid,Festuca dolichophylla,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,4,Rubiaceae,Forb,Galium corymbosum,0.5,2005,3447.3,-13.169483,-71.634032,PFTC3
2018,wet_season,March,ACJ,B,5,Bromeliaceae,Forb,Puya leptostachya,2,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Cyperaceae,Graminoid,Carex pygmaea,2,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Cyperaceae,Graminoid,Rhynchospora macrochaeta,3,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Dryopteridaceae,Fern,Elaphoglossum huacsaro,1,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Ericaceae,Woody,Gaultheria glomerata,12,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Ericaceae,Woody,Pernettya prostrata,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Ericaceae,Woody,Vaccinium floribundum,4,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Gentianaceae,Forb,Halenia umbellata,3,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Hypericaceae,Woody,Hypericum andinum,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
2018,wet_season,March,ACJ,B,5,Juncaceae,Graminoid,Luzula racemosa,0.5,2005,3447.7,-13.169548,-71.63403,PFTC3
